"benchmark_id","case_id","dataset_group","difficulty","query","gold_fact_count","gold_qrel_count","full_provision_ranked_provisions","full_provision_context_provisions","full_provision_returned_provisions","full_provision_recall_at_k","full_provision_precision_at_k","full_provision_ndcg_at_k","full_provision_fact_coverage","full_provision_evidence_precision","full_provision_context_chars","full_provision_context_words","full_provision_estimated_context_tokens","full_structured_ranked_provisions","full_structured_context_provisions","full_structured_returned_provisions","full_structured_recall_at_k","full_structured_precision_at_k","full_structured_ndcg_at_k","full_structured_fact_coverage","full_structured_evidence_precision","full_structured_context_chars","full_structured_context_words","full_structured_estimated_context_tokens"
"R025","Q151","external","Trung bình","hộ kinh doanh bán thức ăn chăn nuôi thức ăn thủy sản đối tượng không chịu thuế thuế giá trị gia tăng","1","1","5","7","7","1.0","0.2","0.386853","1.0","0.142857","3817","821","955","9","11","11","1.0","0.111111","0.386853","1.0","0.090909","6398","1375","1600"
"R026","Q155","external","Trung bình","hộ kinh doanh dạy học thu học phí có thuộc đối tượng không chịu thuế giá trị gia tăng","1","1","5","7","7","1.0","0.2","1.0","1.0","0.142857","3784","823","946","9","11","11","1.0","0.111111","1.0","1.0","0.090909","5268","1138","1317"
"R027","Q153","external","Khó","miễn thuế thu nhập cá nhân tiền làm thêm giờ chi trả tháng 1 năm 2026","2","2","5","6","6","0.5","0.2","0.613147","0.5","0.166667","3698","816","925","9","10","10","0.5","0.111111","0.613147","0.5","0.1","4945","1089","1237"
"R028","Q181","external","Trung bình","hộ kinh doanh bán hàng nhiều sàn thương mại điện tử kê khai doanh thu thuế","3","3","5","5","5","0.666667","0.4","0.671386","0.666667","0.4","3347","724","837","9","9","9","1.0","0.333333","0.838547","1.0","0.333333","5030","1094","1258"
"R029","Q197","external","Khó","hộ kinh doanh kê khai thuế doanh thu sàn thương mại điện tử nộp thay","2","1","5","5","5","1.0","0.2","0.5","1.0","0.2","6755","1479","1689","9","9","9","1.0","0.111111","0.5","1.0","0.111111","7600","1667","1900"
"R030","Q194","external","Trung bình","thời điểm áp dụng phương pháp tính thuế thuế giá trị gia tăng mới khi hộ kinh doanh thay đổi doanh thu","1","1","5","5","5","0.0","0.0","0.0","0.0","0.0","7245","1581","1812","8","8","8","1.0","0.125","0.333333","1.0","0.125","10629","2345","2658"
"R031","Q182","external","Khó","phương pháp tính thuế hộ kinh doanh thay đổi nhóm doanh thu","4","6","5","5","5","0.5","0.6","0.514771","1.0","0.6","8159","1799","2040","8","8","8","0.666667","0.5","0.554745","1.0","0.5","9559","2109","2390"
"R032","Q185","external","Trung bình","doanh thu tính thuế thu nhập cá nhân hộ kinh doanh bao gồm những khoản nào","3","1","5","5","5","1.0","0.2","1.0","1.0","0.2","8183","1789","2046","9","9","9","1.0","0.111111","1.0","1.0","0.111111","11828","2606","2957"
"R033","Q183","external","Trung bình","hộ kinh doanh doanh thu bằng ngưỡng chịu thuế có phải khai nộp thuế không","1","1","5","5","5","1.0","0.2","0.63093","1.0","0.2","6966","1528","1742","9","9","9","1.0","0.111111","0.63093","1.0","0.111111","10160","2215","2540"
"R034","Q188","external","Khó","phương pháp tính thuế giá trị gia tăng hộ kinh doanh theo doanh thu","1","1","5","5","5","1.0","0.2","0.63093","1.0","0.2","8757","1926","2190","7","7","7","1.0","0.142857","0.63093","1.0","0.142857","9565","2104","2392"
"R035","Q195","external","Khó","khoản chi được trừ hộ kinh doanh thuế thu nhập cá nhân","2","2","5","5","5","1.0","0.4","1.0","1.0","0.4","5290","1160","1323","5","5","5","1.0","0.4","1.0","1.0","0.4","5290","1160","1323"
"R036","Q189","external","Trung bình","phương pháp tính thuế thu nhập cá nhân hộ kinh doanh doanh thu cao","2","1","5","5","5","1.0","0.2","1.0","1.0","0.2","7876","1719","1969","9","9","9","1.0","0.111111","1.0","1.0","0.111111","12301","2711","3076"
"R037","Q132","external","Trung bình","cá nhân cho thuê bất động sản có phải khai báo tài khoản ngân hàng","1","1","5","6","6","0.0","0.0","0.0","0.0","0.0","21137","4621","5285","9","10","10","0.0","0.0","0.0","0.0","0.0","26573","5834","6644"
"R038","Q162","external","Trung bình","cách tính thuế giá trị gia tăng cho thuê bất động sản doanh thu 600 triệu đồng/năm","1","1","5","6","6","1.0","0.2","0.63093","1.0","0.166667","6034","1352","1509","7","8","8","1.0","0.142857","0.63093","1.0","0.125","9732","2156","2433"
"R039","Q184","external","Dễ","hộ kinh doanh nhiều cửa hàng xuất hóa đơn điện tử dùng chung mã số thuế","1","1","5","5","5","1.0","0.2","1.0","1.0","0.2","9657","2140","2415","7","7","7","1.0","0.142857","1.0","1.0","0.142857","10470","2319","2618"
"R040","Q192","external","Trung bình","thời hạn đăng ký sử dụng hóa đơn điện tử hộ kinh doanh doanh thu 1 tỷ đồng","1","1","5","5","5","1.0","0.2","1.0","1.0","0.2","4381","987","1096","7","7","7","1.0","0.142857","1.0","1.0","0.142857","8867","1954","2217"
"R041","C02","current","Dễ","Tôi chỉ có một căn nhà ở duy nhất tại Việt Nam và nay chuyển nhượng căn nhà đó. Khoản thu nhập này có được miễn thuế thu nhập cá nhân không?","2","3","5","5","5","0.666667","0.4","0.703918","1.0","0.4","3403","758","851","8","8","8","0.666667","0.25","0.703918","1.0","0.25","6988","1554","1747"
"R042","C12","current","Dễ","Mã số thuế của cá nhân và hộ kinh doanh theo Luật Quản lý thuế hiện hành là mã nào?","2","1","5","5","5","1.0","0.2","0.430677","1.0","0.2","8449","1879","2113","7","7","7","1.0","0.142857","0.430677","1.0","0.142857","9262","2058","2316"
"R043","C06","current","Dễ","Tôi trúng thưởng 50 triệu đồng trong một lần. Thuế thu nhập cá nhân phải nộp là bao nhiêu?","3","2","5","5","5","0.5","0.2","0.237198","0.333333","0.2","6578","1430","1645","9","9","9","0.5","0.111111","0.237198","0.333333","0.111111","9845","2152","2462"
"R044","C08","current","Dễ","Nhà cung cấp nước ngoài không có cơ sở thường trú tại Việt Nam nhưng kinh doanh trên nền tảng số với khách hàng Việt Nam có thuộc người nộp thuế giá trị gia tăng không?","1","1","5","6","6","1.0","0.2","1.0","1.0","0.166667","6668","1467","1667","8","9","9","1.0","0.125","1.0","1.0","0.111111","8393","1849","2099"
"R045","C28","current","Trung bình","Người nộp thuế thuộc đúng đối tượng gia hạn năm 2026 nhưng gửi văn bản đề nghị vào ngày 03/11/2026 thì có được gia hạn không?","2","2","5","5","5","1.0","0.4","0.919721","1.0","0.4","2621","586","656","9","9","9","1.0","0.222222","0.919721","1.0","0.222222","4762","1054","1191"
"R046","C21","current","Trung bình","Theo quy định hiện hành, hộ kinh doanh có doanh thu năm trước chưa vượt 1 tỷ đồng nhưng doanh thu lũy kế trong quý III vượt 1 tỷ đồng. Trong bao lâu hộ phải đăng ký sử dụng hóa đơn điện tử?","2","1","5","5","5","1.0","0.2","1.0","1.0","0.2","5691","1277","1423","9","9","9","1.0","0.111111","1.0","1.0","0.111111","11237","2477","2810"
"R047","C16","current","Trung bình","Tôi có khoản tiền thuế nợ đã quá 90 ngày kể từ ngày hết hạn nộp. Khoản nợ này có thuộc trường hợp bị cưỡng chế không?","2","1","5","5","5","1.0","0.2","0.63093","1.0","0.2","4265","956","1067","9","9","9","1.0","0.111111","0.63093","1.0","0.111111","12007","2624","3002"
"R048","C14","current","Trung bình","Do bất khả kháng tôi không thể nộp hồ sơ khai thuế đúng hạn. Thời gian gia hạn tối đa đối với hồ sơ khai theo tháng và hồ sơ quyết toán thuế là bao lâu?","2","1","5","5","5","1.0","0.2","1.0","1.0","0.2","4025","886","1007","9","9","9","1.0","0.111111","1.0","1.0","0.111111","7685","1675","1922"
"R049","C17","current","Trung bình","Theo quy định hiện hành, hộ kinh doanh có doanh thu thực tế 900 triệu đồng trong năm có phải nộp thuế giá trị gia tăng và thuế thu nhập cá nhân từ hoạt động kinh doanh không?","2","2","5","5","5","0.0","0.0","0.0","0.0","0.0","7375","1625","1844","9","9","9","0.0","0.0","0.0","0.0","0.0","8954","1961","2239"
"R050","C15","current","Trung bình","Tôi bán hàng trên một nền tảng có cả chức năng đặt hàng trực tuyến và thanh toán. Ai có trách nhiệm khấu trừ, khai thay và nộp thay thuế cho tôi?","2","1","5","5","5","1.0","0.2","0.430677","1.0","0.2","6081","1324","1521","9","9","9","1.0","0.111111","0.430677","1.0","0.111111","7535","1641","1884"
"R051","C46","current","Khó","cách tính thuế thu nhập cá nhân theo phương pháp tỷ lệ trên doanh thu đối với cá nhân kinh doanh phân phối hàng hóa","2","2","5","5","5","0.5","0.2","0.306574","1.0","0.2","4504","993","1126","9","9","9","1.0","0.222222","0.510956","1.0","0.222222","6797","1502","1700"
"R052","C50","current","Khó","Theo quy định hiện hành, cá nhân chỉ kinh doanh trên nền tảng số, doanh thu thực tế cả năm là 900 triệu đồng nhưng nền tảng đã khấu trừ và nộp thay thuế. Cá nhân phải xử lý số thuế, nghĩa vụ thông báo doanh thu và hóa đơn điện tử thế nào?","3","3","5","5","5","0.0","0.0","0.0","0.0","0.0","5541","1206","1386","9","9","9","0.0","0.0","0.0","0.0","0.0","7053","1535","1764"
"R053","C41","current","Khó","điều kiện xác định cá nhân cư trú theo số ngày có mặt tại Việt Nam trong năm dương lịch và 12 tháng liên tục","1","2","5","6","6","1.0","0.4","1.0","1.0","0.333333","5201","1191","1301","9","10","10","1.0","0.222222","1.0","1.0","0.2","7311","1673","1828"
"R054","C49","current","Khó","thời điểm bắt đầu khai thuế đối với hộ kinh doanh khi doanh thu lũy kế vượt ngưỡng 1 tỷ đồng","2","1","5","5","5","1.0","0.2","1.0","1.0","0.2","4517","1015","1130","5","5","5","1.0","0.2","1.0","1.0","0.2","4517","1015","1130"
"R055","C39","current","Khó","gia hạn nộp thuế giá trị gia tăng tháng 6 năm 2026 đối với doanh nghiệp kinh doanh đa ngành có hoạt động vận tải","2","3","5","5","5","0.666667","0.4","0.671386","1.0","0.4","2513","560","629","6","6","6","0.666667","0.333333","0.671386","1.0","0.333333","2975","666","744"
"R056","C42","current","Khó","Doanh nghiệp Việt Nam cung cấp sản phẩm nội dung số cho khách hàng nước ngoài và muốn áp dụng thuế suất giá trị gia tăng 0%. Doanh nghiệp phải chứng minh những nhóm điều kiện chính nào?","3","3","5","6","6","0.0","0.0","0.0","0.333333","0.166667","4271","946","1068","7","8","8","0.0","0.0","0.0","0.333333","0.125","6441","1419","1611"
"R057","C32","current","Khó","Cá nhân cư trú kinh doanh vận tải có doanh thu năm 2,5 tỷ đồng, chọn tính thu nhập cá nhân theo tỷ lệ trên doanh thu và tính giá trị gia tăng trực tiếp. Tổng thuế giá trị gia tăng và thu nhập cá nhân phải nộp là bao nhiêu?","3","3","5","5","5","0.333333","0.2","0.469279","0.666667","0.2","8001","1761","2001","9","9","9","0.333333","0.111111","0.469279","0.666667","0.111111","11889","2635","2973"
"R058","C47","current","Khó","phương pháp tính thuế thu nhập cá nhân cho cá nhân kinh doanh theo doanh thu","2","1","5","5","5","1.0","0.2","1.0","1.0","0.2","8208","1792","2052","8","8","8","1.0","0.125","1.0","1.0","0.125","9695","2117","2424"
"R059","C07","current","Khó","Tôi là cá nhân cư trú cung cấp trò chơi điện tử, doanh thu năm 1,5 tỷ đồng và chọn nộp thuế thu nhập cá nhân theo tỷ lệ trên doanh thu. Theo quy định hiện hành, tôi phải nộp bao nhiêu?","3","2","5","5","5","0.5","0.2","0.613147","0.333333","0.2","2620","586","655","9","9","9","0.5","0.111111","0.613147","0.333333","0.111111","7055","1565","1764"
"R060","C40","current","Khó","Doanh nghiệp đủ điều kiện gia hạn năm 2026, nộp hồ sơ khai thuế đúng hạn nhưng đến ngày 03/11/2026 mới gửi văn bản đề nghị gia hạn. Doanh nghiệp có được hưởng gia hạn và miễn tiền chậm nộp trong thời gian đó không?","3","2","5","5","5","0.5","0.2","0.613147","0.333333","0.2","3430","771","858","9","9","9","0.5","0.111111","0.613147","0.333333","0.111111","5682","1266","1421"
"R061","T08","temporal","Dễ","Vào ngày 01/07/2013, thời hạn nộp thuế đối với trường hợp khai theo tháng và khai theo quý được quy định thế nào?","2","1","5","7","7","1.0","0.2","0.386853","1.0","0.142857","3043","665","761","8","10","10","1.0","0.125","0.386853","1.0","0.1","4811","1063","1203"
"R062","T10","temporal","Dễ","Tại ngày 01/01/2015, thu nhập chịu thuế từ chuyển nhượng bất động sản được xác định thế nào?","1","1","5","5","5","1.0","0.2","0.5","1.0","0.2","1166","244","292","6","6","6","1.0","0.166667","0.5","1.0","0.166667","2663","578","666"
"R063","T04","temporal","Dễ","Tại ngày 01/01/2014, bán, cho thuê hoặc cho thuê mua nhà ở xã hội có thuộc nhóm chịu thuế suất giá trị gia tăng 5% không?","2","1","5","7","7","1.0","0.2","0.63093","1.0","0.142857","13515","3039","3379","7","9","9","1.0","0.142857","0.63093","1.0","0.111111","14403","3232","3601"
"R064","T05","temporal","Dễ","Vào ngày 31/12/2014, thức ăn gia súc, gia cầm và thức ăn cho vật nuôi khác có nằm trong nhóm thuế suất giá trị gia tăng 5% không?","2","1","5","6","6","1.0","0.2","0.63093","1.0","0.166667","7047","1571","1762","6","7","7","1.0","0.166667","0.63093","1.0","0.142857","10666","2379","2667"
"R065","T23","temporal","Trung bình","Trong năm 2020, quy định về hạn nộp hồ sơ khai thuế theo quý đã thay đổi như thế nào từ ngày 01/07?","1","2","5","5","5","0.5","0.2","0.613147","1.0","0.2","4483","988","1121","7","7","7","0.5","0.142857","0.613147","1.0","0.142857","5077","1117","1270"
"R066","T24","temporal","Trung bình","Trong tháng 11/2020, thời gian gia hạn nộp thuế tối đa theo khoản 3 Điều 31 Nghị định 83/2013/NĐ-CP là bao lâu?","1","1","5","5","5","1.0","0.2","1.0","1.0","0.2","3402","756","851","7","7","7","1.0","0.142857","1.0","1.0","0.142857","5193","1150","1299"
"R067","T13","temporal","Trung bình","Trong năm 2013, mức giảm trừ gia cảnh đã thay đổi như thế nào?","2","2","5","6","6","0.0","0.0","0.0","0.0","0.0","3624","788","906","7","8","8","0.0","0.0","0.0","0.0","0.0","4904","1071","1226"
"R068","T22","temporal","Trung bình","thời hạn nộp hồ sơ khai thuế theo tháng trong tháng 7 năm 2020","1","1","5","5","5","1.0","0.2","0.63093","1.0","0.2","2926","646","732","9","9","9","1.0","0.111111","0.63093","1.0","0.111111","3643","810","911"
"R069","T14","temporal","Trung bình","Trong năm 2014, nhà ở xã hội được xử lý thế nào trong nhóm thuế suất giá trị gia tăng 5%?","2","1","5","7","7","1.0","0.2","1.0","1.0","0.142857","9739","2170","2435","6","8","8","1.0","0.166667","1.0","1.0","0.125","9853","2196","2464"
"R070","T17","temporal","Trung bình","Trong tháng 01/2025, khoản 1 Điều 24 Luật Thuế thu nhập cá nhân đã quy định trách nhiệm khấu trừ, nộp thay của tổ chức quản lý sàn và nền tảng số chưa?","1","1","5","5","5","1.0","0.2","1.0","1.0","0.2","3081","681","771","7","7","7","1.0","0.142857","1.0","1.0","0.142857","3417","756","855"
"R071","T37","temporal","Khó","ngưỡng doanh thu không chịu thuế giá trị gia tăng đối với hộ kinh doanh, cá nhân kinh doanh","2","3","10","16","16","1.0","0.3","0.932521","1.0","0.1875","12043","2649","3011","18","24","24","1.0","0.166667","0.901013","1.0","0.125","15999","3489","4000"
"R072","T50","temporal","Khó","So sánh thuế suất lũy tiến áp dụng cho phần thu nhập tính thuế 25 triệu đồng/tháng tại ngày 30/06/2026 và ngày 01/07/2026.","1","2","8","8","8","1.0","0.25","0.831555","1.0","0.25","12119","2733","3030","11","11","11","1.0","0.181818","0.806574","1.0","0.181818","16725","3727","4182"
"R073","T45","temporal","Khó","ngưỡng doanh thu không chịu thuế giá trị gia tăng đối với hộ kinh doanh, cá nhân kinh doanh","2","3","5","9","9","1.0","0.6","0.967468","1.0","0.333333","4125","909","1032","9","13","13","1.0","0.333333","0.967468","1.0","0.230769","5738","1253","1435"
"R074","T36","temporal","Khó","So sánh thời hạn nộp hồ sơ khai thuế theo quý tại ngày 30/06/2020 và ngày 01/07/2020.","1","2","10","12","12","1.0","0.2","0.5","1.0","0.166667","5581","1229","1396","18","20","20","1.0","0.111111","0.472269","1.0","0.1","8104","1790","2026"
"R075","T46","temporal","Khó","Trong khoảng từ 15/06/2020 đến 15/07/2020, thời hạn nộp hồ sơ khai thuế theo quý thay đổi thế nào?","1","2","5","5","5","1.0","0.4","0.919721","1.0","0.4","1822","404","456","9","9","9","1.0","0.222222","0.919721","1.0","0.222222","4684","1039","1171"
"R076","T35","temporal","Khó","So sánh thời hạn nộp thuế theo tháng và theo quý tại ngày 31/12/2012 và ngày 01/07/2013 theo Luật Quản lý thuế 78/2006/QH11.","2","2","10","11","11","0.5","0.1","0.177239","0.5","0.090909","6490","1434","1623","17","18","18","1.0","0.117647","0.375347","1.0","0.111111","8493","1879","2124"
"R077","T33","temporal","Khó","So sánh tình trạng của bán, cho thuê, cho thuê mua nhà ở xã hội trong nhóm thuế suất thuế giá trị gia tăng 5% tại ngày 31/12/2013 và ngày 01/01/2014.","3","2","10","14","14","1.0","0.2","0.571429","1.0","0.142857","26670","5970","6668","16","20","20","1.0","0.125","0.552549","1.0","0.1","32270","7213","8068"
"R078","T39","temporal","Khó","So sánh thời gian gia hạn nộp thuế tại khoản 3 Điều 31 Nghị định 83/2013/NĐ-CP vào ngày 31/10/2014 và ngày 01/12/2014.","1","2","6","6","6","1.0","0.333333","0.831555","1.0","0.333333","4579","1020","1145","8","8","8","1.0","0.25","0.806574","1.0","0.25","5815","1293","1454"
"R079","T48","temporal","Khó","thời hạn nộp tiền sử dụng đất theo thông báo của cơ quan thuế trong khoảng từ ngày 01/02/2026 đến ngày 01/03/2026","1","2","8","8","8","1.0","0.25","1.0","1.0","0.25","13084","2927","3271","10","10","10","1.0","0.2","1.0","1.0","0.2","15319","3418","3830"
"R080","T32","temporal","Khó","So sánh giá tính thuế giá trị gia tăng đối với hàng hóa nhập khẩu tại ngày 31/12/2013 và ngày 01/01/2014.","1","2","10","12","12","1.0","0.2","0.831555","1.0","0.166667","15149","3406","3788","16","18","18","1.0","0.125","0.790386","1.0","0.111111","17049","3831","4263"
"R081","Q219","qdrant","Dễ","Tại ngày 18/09/2023, nếu người nộp thuế sử dụng đất nông nghiệp chọn nộp thuế hai lần trong năm thì thời hạn nộp cho từng kỳ là bao giờ?","2","1","5","5","5","1.0","0.2","1.0","1.0","0.2","6912","1524","1728","7","7","7","1.0","0.142857","1.0","1.0","0.142857","7698","1700","1925"
"R082","Q222","qdrant","Dễ","Tại ngày 18/09/2023, nếu tôi chọn nộp tiền sử dụng khu vực biển hàng năm làm hai lần trong năm thì thời hạn nộp tiền cho từng kỳ được quy định thế nào?","2","1","5","5","5","1.0","0.2","1.0","1.0","0.2","6912","1524","1728","7","7","7","1.0","0.142857","1.0","1.0","0.142857","8175","1811","2044"
"R083","Q212","qdrant","Dễ","Cá nhân không cư trú kinh doanh trên nền tảng số không có chức năng đặt hàng và thanh toán trực tuyến thì có phải quyết toán thuế thu nhập cá nhân không?","1","1","5","5","5","1.0","0.2","1.0","1.0","0.2","3596","795","899","9","9","9","1.0","0.111111","1.0","1.0","0.111111","6302","1380","1576"
"R084","Q217","qdrant","Dễ","Nếu hộ gia đình tôi xác định lại số tiền sử dụng đất phải nộp sau 05 năm kể từ ngày có quyết định giao đất tái định cư, thì thời hạn nộp 100% số tiền này là bao lâu?","2","1","5","5","5","1.0","0.2","1.0","1.0","0.2","7927","1762","1982","9","9","9","1.0","0.111111","1.0","1.0","0.111111","9943","2205","2486"
"R085","Q211","qdrant","Dễ","Nếu tôi bán hàng trên một nền tảng thương mại điện tử có chức năng đặt hàng và thanh toán trực tuyến, thì ai là người có trách nhiệm khấu trừ, khai và nộp thuế thay cho tôi?","2","1","5","5","5","1.0","0.2","1.0","1.0","0.2","5105","1110","1277","9","9","9","1.0","0.111111","1.0","1.0","0.111111","6936","1509","1734"
"R086","Q248","qdrant","Trung bình","nghĩa vụ về hóa đơn điện tử đối với hộ kinh doanh có doanh thu năm trên 1 tỷ đồng","1","1","5","5","5","1.0","0.2","0.63093","1.0","0.2","5411","1210","1353","7","7","7","1.0","0.142857","0.63093","1.0","0.142857","9897","2177","2475"
"R087","Q246","qdrant","Trung bình","Quy định về hóa đơn điện tử đối với hộ kinh doanh và lộ trình áp dụng giao dịch điện tử trong quản lý thuế có hiệu lực từ khi nào và hạn cuối hoàn thành là ngày nào?","2","2","5","6","6","1.0","0.4","0.877215","1.0","0.333333","6937","1566","1735","9","10","10","1.0","0.222222","0.877215","1.0","0.2","8523","1914","2131"
