"benchmark_id","case_id","dataset_group","difficulty","query","gold_fact_count","gold_qrel_count","status","dense_candidate_pool","dense_ranked_subchunks","dense_context_subchunks","dense_recall_at_k","dense_precision_at_k","dense_ndcg_at_k","dense_fact_coverage","dense_evidence_precision","dense_context_chars","dense_context_words","dense_estimated_context_tokens","bm25_candidate_pool","bm25_ranked_subchunks","bm25_context_subchunks","bm25_recall_at_k","bm25_precision_at_k","bm25_ndcg_at_k","bm25_fact_coverage","bm25_evidence_precision","bm25_context_chars","bm25_context_words","bm25_estimated_context_tokens","hybrid_rrf_candidate_pool","hybrid_rrf_ranked_subchunks","hybrid_rrf_context_subchunks","hybrid_rrf_recall_at_k","hybrid_rrf_precision_at_k","hybrid_rrf_ndcg_at_k","hybrid_rrf_fact_coverage","hybrid_rrf_evidence_precision","hybrid_rrf_context_chars","hybrid_rrf_context_words","hybrid_rrf_estimated_context_tokens","hybrid_rerank_candidate_pool","hybrid_rerank_ranked_subchunks","hybrid_rerank_context_subchunks","hybrid_rerank_recall_at_k","hybrid_rerank_precision_at_k","hybrid_rerank_ndcg_at_k","hybrid_rerank_fact_coverage","hybrid_rerank_evidence_precision","hybrid_rerank_context_chars","hybrid_rerank_context_words","hybrid_rerank_estimated_context_tokens","elapsed_seconds"
"R011","Q138","external","Dễ","miễn thuế thu nhập cá nhân chuyển nhượng bất động sản giữa người thân","1","1","ok","20","5","5","1.0","0.2","1.0","1.0","0.2","1579","347","395","20","5","5","1.0","0.2","1.0","1.0","0.2","1968","429","492","20","5","5","1.0","0.2","1.0","1.0","0.2","1776","394","444","20","5","5","1.0","0.2","1.0","1.0","0.2","2216","482","554","14.767"
"R012","Q170","external","Trung bình","hộ kinh doanh tiệm spa kê khai nộp các loại thuế nào","2","2","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","1947","432","487","20","5","5","0.5","0.2","0.386853","0.5","0.2","1893","407","474","20","5","5","0.0","0.0","0.0","0.0","0.0","2177","479","545","20","5","5","0.0","0.0","0.0","0.0","0.0","1910","417","478","4.46"
"R013","Q177","external","Trung bình","nghĩa vụ thuế cá nhân cho thuê bất động sản 5 phòng trọ","2","2","ok","20","5","5","1.0","0.4","0.543771","0.0","0.0","1709","382","428","20","5","5","1.0","0.4","1.0","0.0","0.0","1831","412","458","20","5","5","1.0","0.4","0.877215","0.0","0.0","1831","412","458","20","5","5","1.0","0.4","0.877215","0.0","0.0","1250","282","313","4.254"
"R014","Q163","external","Trung bình","thời điểm tính thuế thu nhập cá nhân tiền thưởng Tết Âm lịch","1","2","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","1231","270","308","20","5","5","0.0","0.0","0.0","0.0","0.0","1453","307","364","20","5","5","0.0","0.0","0.0","0.0","0.0","1375","291","344","20","5","5","0.0","0.0","0.0","0.0","0.0","1426","310","357","4.139"
"R015","Q169","external","Dễ","tiền lương hưu hằng tháng có chịu thuế thu nhập cá nhân không","1","1","ok","20","5","5","1.0","0.2","0.5","1.0","0.2","1503","332","376","20","5","5","1.0","0.2","0.63093","1.0","0.2","1466","327","367","20","5","5","1.0","0.2","0.63093","1.0","0.2","1320","291","330","20","5","5","1.0","0.2","0.430677","1.0","0.2","1423","314","356","4.539"
"R016","Q168","external","Dễ","hộ kinh doanh bị lỗ có phải nộp thuế không","2","1","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","2105","458","527","20","5","5","0.0","0.0","0.0","0.0","0.0","2064","451","516","20","5","5","0.0","0.0","0.0","0.0","0.0","1718","367","430","20","5","5","0.0","0.0","0.0","0.0","0.0","1761","376","441","4.334"
"R017","Q136","external","Khó","quy định tính thuế thu nhập cá nhân từ tiền lương tiền công tháng 1 năm 2025","2","4","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","1044","226","261","20","5","5","0.25","0.2","0.19519","0.5","0.2","1357","297","340","20","5","5","0.0","0.0","0.0","0.0","0.0","1043","226","261","20","5","5","0.25","0.2","0.246302","0.5","0.2","1144","246","286","9.179"
"R018","Q166","external","Dễ","các khoản thu nhập từ tiền lương tiền công được miễn thuế thu nhập cá nhân","3","3","ok","20","5","5","0.333333","0.2","0.296082","0.0","0.0","1170","257","293","20","5","5","0.333333","0.2","0.234639","0.0","0.0","913","197","229","20","5","5","0.333333","0.2","0.469279","0.0","0.0","913","197","229","20","5","5","0.333333","0.2","0.202107","0.0","0.0","1029","224","258","15.104"
"R019","Q139","external","Trung bình","cách tính thuế thu nhập cá nhân tiền lương tiền công","2","3","ok","20","5","5","0.333333","0.2","0.469279","0.5","0.2","1542","337","386","20","5","5","0.0","0.0","0.0","0.0","0.0","1156","253","289","20","5","5","0.0","0.0","0.0","0.0","0.0","1156","253","289","20","5","5","0.666667","0.4","0.703918","1.0","0.4","1558","341","390","3.893"
"R020","Q146","external","Trung bình","thời hạn nộp hồ sơ khai thuế đối với tổ chức khai và nộp thuế thay cho cá nhân cho thuê tài sản","2","2","ok","20","5","5","0.5","0.2","0.306574","0.0","0.0","1381","311","346","20","5","5","0.5","0.2","0.613147","1.0","0.2","1961","443","491","20","5","5","0.5","0.2","0.386853","1.0","0.2","1626","363","407","20","5","5","0.5","0.2","0.613147","1.0","0.2","1689","381","423","4.254"
"R021","Q145","external","Khó","nghĩa vụ thuế giá trị gia tăng và thuế thu nhập cá nhân đối với cá nhân cho thuê bất động sản có doanh thu 900 triệu đồng trong năm 2026","2","2","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","1546","344","387","20","5","5","0.0","0.0","0.0","0.0","0.0","2288","514","572","20","5","5","0.0","0.0","0.0","0.0","0.0","1956","438","489","20","5","5","0.0","0.0","0.0","0.0","0.0","1866","419","467","18.93"
"R022","Q158","external","Trung bình","xử lý số thuế đã nộp hộ kinh doanh doanh thu thực tế cả năm 2026 đạt 800 triệu đồng","2","4","ok","20","5","5","0.5","0.4","0.41443","1.0","0.4","1700","376","425","20","5","5","0.5","0.4","0.636682","1.0","0.4","1933","433","484","20","5","5","0.5","0.4","0.58557","1.0","0.4","1926","430","482","20","5","5","0.5","0.4","0.558508","1.0","0.4","1412","315","353","4.853"
"R023","Q154","external","Khó","hộ kinh doanh giết mổ bán thịt tươi sống thuế thuế giá trị gia tăng thuế thuế thu nhập cá nhân","1","1","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","1332","288","333","20","5","5","0.0","0.0","0.0","0.0","0.0","1467","314","367","20","5","5","0.0","0.0","0.0","0.0","0.0","1644","355","411","20","5","5","0.0","0.0","0.0","0.0","0.0","1722","367","431","15.197"
"R024","Q149","external","Dễ","cá nhân cho thuê bất động sản thông báo tài khoản ngân hàng cho cơ quan thuế","1","1","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","1647","364","412","20","5","5","0.0","0.0","0.0","0.0","0.0","2243","501","561","20","5","5","0.0","0.0","0.0","0.0","0.0","1849","412","463","20","5","5","1.0","0.2","1.0","1.0","0.2","1854","414","464","4.512"
"R025","Q151","external","Trung bình","hộ kinh doanh bán thức ăn chăn nuôi thức ăn thủy sản đối tượng không chịu thuế thuế giá trị gia tăng","1","1","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","1361","292","341","20","5","5","0.0","0.0","0.0","0.0","0.0","1615","345","404","20","5","5","0.0","0.0","0.0","0.0","0.0","1281","271","321","20","5","5","0.0","0.0","0.0","0.0","0.0","1213","266","304","13.826"
"R026","Q155","external","Trung bình","hộ kinh doanh dạy học thu học phí có thuộc đối tượng không chịu thuế giá trị gia tăng","1","1","ok","20","5","5","1.0","0.2","0.63093","1.0","0.2","1622","355","406","20","5","5","1.0","0.2","1.0","1.0","0.2","1724","385","431","20","5","5","1.0","0.2","0.63093","1.0","0.2","1335","300","334","20","5","5","1.0","0.2","1.0","1.0","0.2","1587","353","397","15.089"
"R027","Q153","external","Khó","miễn thuế thu nhập cá nhân tiền làm thêm giờ chi trả tháng 1 năm 2026","2","2","ok","20","5","5","0.5","0.2","0.237198","0.5","0.2","1203","260","301","20","5","5","0.5","0.2","0.386853","0.5","0.2","1209","267","303","20","5","5","0.5","0.2","0.386853","0.5","0.2","1546","345","387","20","5","5","0.5","0.2","0.237198","0.5","0.2","1304","289","326","12.53"
"R028","Q181","external","Trung bình","hộ kinh doanh bán hàng nhiều sàn thương mại điện tử kê khai doanh thu thuế","3","3","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","1987","433","497","20","5","5","0.0","0.0","0.0","0.0","0.0","1967","433","492","20","5","5","0.0","0.0","0.0","0.0","0.0","1698","369","425","20","5","5","0.333333","0.2","0.234639","0.333333","0.2","1792","389","448","14.246"
"R029","Q197","external","Khó","hộ kinh doanh kê khai thuế doanh thu sàn thương mại điện tử nộp thay","2","1","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","1663","366","416","20","5","5","1.0","0.2","0.386853","0.5","0.2","1655","360","414","20","5","5","1.0","0.2","0.430677","0.5","0.2","1723","378","431","20","5","5","1.0","0.2","0.63093","0.5","0.2","1554","340","389","4.011"
"R030","Q194","external","Trung bình","thời điểm áp dụng phương pháp tính thuế thuế giá trị gia tăng mới khi hộ kinh doanh thay đổi doanh thu","1","1","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","1377","301","345","20","5","5","0.0","0.0","0.0","0.0","0.0","1819","396","455","20","5","5","0.0","0.0","0.0","0.0","0.0","1715","382","429","20","5","5","0.0","0.0","0.0","0.0","0.0","1958","427","490","4.493"
"R031","Q182","external","Khó","phương pháp tính thuế hộ kinh doanh thay đổi nhóm doanh thu","4","6","ok","20","5","5","0.5","0.6","0.684352","0.75","0.2","1567","340","392","20","5","5","0.5","0.6","0.699215","0.75","0.4","2097","453","525","20","5","5","0.666667","0.8","0.868795","0.75","0.4","2159","470","540","20","5","5","0.5","0.6","0.654809","0.75","0.2","1651","358","413","4.359"
"R032","Q185","external","Trung bình","doanh thu tính thuế thu nhập cá nhân hộ kinh doanh bao gồm những khoản nào","3","1","ok","20","5","5","1.0","0.2","0.5","0.333333","0.2","2126","465","532","20","5","5","0.0","0.0","0.0","0.0","0.0","1507","328","377","20","5","5","0.0","0.0","0.0","0.0","0.0","1699","367","425","20","5","5","1.0","0.2","0.386853","0.333333","0.2","1733","375","434","4.7"
"R033","Q183","external","Trung bình","hộ kinh doanh doanh thu bằng ngưỡng chịu thuế có phải khai nộp thuế không","1","1","ok","20","5","5","1.0","0.2","1.0","0.0","0.0","1594","344","399","20","5","5","1.0","0.2","1.0","0.0","0.0","1370","296","343","20","5","5","1.0","0.2","1.0","0.0","0.0","1390","297","348","20","5","5","1.0","0.2","1.0","0.0","0.0","1221","265","306","4.188"
"R034","Q188","external","Khó","phương pháp tính thuế giá trị gia tăng hộ kinh doanh theo doanh thu","1","1","ok","20","5","5","1.0","0.2","1.0","1.0","0.2","1649","364","413","20","5","5","1.0","0.2","0.63093","1.0","0.2","1548","332","387","20","5","5","1.0","0.2","1.0","1.0","0.2","1882","410","471","20","5","5","1.0","0.2","0.5","1.0","0.2","1698","363","425","4.277"
"R035","Q195","external","Khó","khoản chi được trừ hộ kinh doanh thuế thu nhập cá nhân","2","2","ok","20","5","5","1.0","0.4","0.650921","0.5","0.2","1686","368","422","20","5","5","0.5","0.2","0.613147","0.5","0.2","1395","304","349","20","5","5","0.5","0.2","0.613147","0.5","0.2","1686","375","422","20","5","5","0.5","0.2","0.306574","0.5","0.2","1139","249","285","4.039"
"R036","Q189","external","Trung bình","phương pháp tính thuế thu nhập cá nhân hộ kinh doanh doanh thu cao","2","1","ok","20","5","5","1.0","0.2","1.0","0.5","0.2","1544","333","386","20","5","5","1.0","0.2","0.5","0.0","0.0","1677","362","420","20","5","5","1.0","0.2","0.5","0.5","0.2","1719","370","430","20","5","5","1.0","0.2","0.63093","0.0","0.0","1577","338","395","4.181"
"R037","Q132","external","Trung bình","cá nhân cho thuê bất động sản có phải khai báo tài khoản ngân hàng","1","1","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","1912","428","478","20","5","5","0.0","0.0","0.0","0.0","0.0","1973","437","494","20","5","5","0.0","0.0","0.0","0.0","0.0","1733","391","434","20","5","5","0.0","0.0","0.0","0.0","0.0","1529","338","383","4.127"
"R038","Q162","external","Trung bình","cách tính thuế giá trị gia tăng cho thuê bất động sản doanh thu 600 triệu đồng/năm","1","1","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","2046","461","512","20","5","5","0.0","0.0","0.0","0.0","0.0","1922","430","481","20","5","5","0.0","0.0","0.0","0.0","0.0","2119","478","530","20","5","5","0.0","0.0","0.0","0.0","0.0","1871","413","468","19.259"
"R039","Q184","external","Dễ","hộ kinh doanh nhiều cửa hàng xuất hóa đơn điện tử dùng chung mã số thuế","1","1","ok","20","5","5","1.0","0.2","1.0","1.0","0.2","1954","448","489","20","5","5","1.0","0.2","1.0","1.0","0.2","2054","462","514","20","5","5","1.0","0.2","1.0","1.0","0.2","2254","508","564","20","5","5","1.0","0.2","1.0","1.0","0.2","2217","503","555","14.295"
"R040","Q192","external","Trung bình","thời hạn đăng ký sử dụng hóa đơn điện tử hộ kinh doanh doanh thu 1 tỷ đồng","1","1","ok","20","5","5","1.0","0.2","1.0","1.0","0.2","1583","362","396","20","5","5","1.0","0.2","1.0","1.0","0.2","1844","429","461","20","5","5","1.0","0.2","1.0","1.0","0.2","1807","420","452","20","5","5","1.0","0.2","1.0","1.0","0.2","1546","357","387","18.962"
"R041","C02","current","Dễ","Tôi chỉ có một căn nhà ở duy nhất tại Việt Nam và nay chuyển nhượng căn nhà đó. Khoản thu nhập này có được miễn thuế thu nhập cá nhân không?","2","3","ok","20","5","5","1.0","0.6","0.946902","1.0","0.4","1348","297","337","20","5","5","1.0","0.6","1.0","1.0","0.4","1453","319","364","20","5","5","1.0","0.6","1.0","1.0","0.4","1348","297","337","20","5","5","1.0","0.6","0.88546","1.0","0.4","1230","271","308","15.366"
"R042","C12","current","Dễ","Mã số thuế của cá nhân và hộ kinh doanh theo Luật Quản lý thuế hiện hành là mã nào?","2","1","ok","20","5","5","1.0","0.2","1.0","1.0","0.2","1380","313","345","20","5","5","1.0","0.2","0.63093","1.0","0.2","1950","445","488","20","5","5","1.0","0.2","1.0","1.0","0.2","1718","393","430","20","5","5","1.0","0.2","1.0","1.0","0.2","2180","489","545","4.5"
"R043","C06","current","Dễ","Tôi trúng thưởng 50 triệu đồng trong một lần. Thuế thu nhập cá nhân phải nộp là bao nhiêu?","3","2","ok","20","5","5","1.0","0.4","0.650921","1.0","0.4","1095","230","274","20","5","5","0.5","0.2","0.386853","0.333333","0.2","1437","299","360","20","5","5","0.5","0.2","0.613147","0.333333","0.2","1437","299","360","20","5","5","0.5","0.2","0.386853","0.333333","0.2","1212","249","303","4.209"
"R044","C08","current","Dễ","Nhà cung cấp nước ngoài không có cơ sở thường trú tại Việt Nam nhưng kinh doanh trên nền tảng số với khách hàng Việt Nam có thuộc người nộp thuế giá trị gia tăng không?","1","1","ok","20","5","5","1.0","0.2","1.0","0.0","0.0","2269","500","568","20","5","5","1.0","0.2","1.0","0.0","0.0","2243","493","561","20","5","5","1.0","0.2","1.0","0.0","0.0","2268","500","567","20","5","5","1.0","0.2","1.0","0.0","0.0","2034","445","509","4.89"
"R045","C28","current","Trung bình","Người nộp thuế thuộc đúng đối tượng gia hạn năm 2026 nhưng gửi văn bản đề nghị vào ngày 03/11/2026 thì có được gia hạn không?","2","2","ok","20","5","5","1.0","0.4","0.919721","0.5","0.2","1570","353","393","20","5","5","1.0","0.4","1.0","0.5","0.2","1442","320","361","20","5","5","1.0","0.4","1.0","0.5","0.2","1570","353","393","20","5","5","1.0","0.4","0.919721","0.5","0.2","1364","302","341","4.549"
"R046","C21","current","Trung bình","Theo quy định hiện hành, hộ kinh doanh có doanh thu năm trước chưa vượt 1 tỷ đồng nhưng doanh thu lũy kế trong quý III vượt 1 tỷ đồng. Trong bao lâu hộ phải đăng ký sử dụng hóa đơn điện tử?","2","1","ok","20","5","5","1.0","0.2","1.0","0.5","0.2","1819","418","455","20","5","5","1.0","0.2","1.0","0.0","0.0","1613","357","404","20","5","5","1.0","0.2","1.0","0.5","0.2","1844","429","461","20","5","5","1.0","0.2","1.0","0.5","0.2","1819","418","455","5.072"
"R047","C16","current","Trung bình","Tôi có khoản tiền thuế nợ đã quá 90 ngày kể từ ngày hết hạn nộp. Khoản nợ này có thuộc trường hợp bị cưỡng chế không?","2","1","ok","20","5","5","1.0","0.2","1.0","1.0","0.2","1279","288","320","20","5","5","1.0","0.2","1.0","1.0","0.2","1380","315","345","20","5","5","1.0","0.2","1.0","1.0","0.2","1481","336","371","20","5","5","1.0","0.2","1.0","1.0","0.2","1316","297","329","4.512"
"R048","C14","current","Trung bình","Do bất khả kháng tôi không thể nộp hồ sơ khai thuế đúng hạn. Thời gian gia hạn tối đa đối với hồ sơ khai theo tháng và hồ sơ quyết toán thuế là bao lâu?","2","1","ok","20","5","5","1.0","0.2","1.0","1.0","0.4","1969","434","493","20","5","5","1.0","0.2","1.0","1.0","0.4","1859","417","465","20","5","5","1.0","0.2","1.0","1.0","0.4","2078","464","520","20","5","5","1.0","0.2","1.0","1.0","0.4","1692","369","423","4.627"
"R049","C17","current","Trung bình","Theo quy định hiện hành, hộ kinh doanh có doanh thu thực tế 900 triệu đồng trong năm có phải nộp thuế giá trị gia tăng và thuế thu nhập cá nhân từ hoạt động kinh doanh không?","2","2","ok","20","5","5","0.5","0.2","0.306574","0.5","0.2","1882","416","471","20","5","5","0.0","0.0","0.0","0.0","0.0","1692","373","423","20","5","5","0.0","0.0","0.0","0.0","0.0","1416","305","354","20","5","5","0.5","0.2","0.264068","0.5","0.2","1523","334","381","4.938"
"R050","C15","current","Trung bình","Tôi bán hàng trên một nền tảng có cả chức năng đặt hàng trực tuyến và thanh toán. Ai có trách nhiệm khấu trừ, khai thay và nộp thay thuế cho tôi?","2","1","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","2022","436","506","20","5","5","1.0","0.2","0.63093","1.0","0.2","2255","484","564","20","5","5","1.0","0.2","0.430677","1.0","0.2","2331","500","583","20","5","5","1.0","0.2","1.0","1.0","0.2","2269","489","568","5.246"
"R051","C46","current","Khó","cách tính thuế thu nhập cá nhân theo phương pháp tỷ lệ trên doanh thu đối với cá nhân kinh doanh phân phối hàng hóa","2","2","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","2088","451","522","20","5","5","0.5","0.2","0.386853","1.0","0.2","2198","490","550","20","5","5","0.5","0.2","0.613147","1.0","0.2","2165","481","542","20","5","5","0.5","0.2","0.613147","1.0","0.2","2212","494","553","4.453"
"R052","C50","current","Khó","Theo quy định hiện hành, cá nhân chỉ kinh doanh trên nền tảng số, doanh thu thực tế cả năm là 900 triệu đồng nhưng nền tảng đã khấu trừ và nộp thay thuế. Cá nhân phải xử lý số thuế, nghĩa vụ thông báo doanh thu và hóa đơn điện tử thế nào?","3","3","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","1699","370","425","20","5","5","0.0","0.0","0.0","0.0","0.0","2156","466","539","20","5","5","0.0","0.0","0.0","0.0","0.0","2160","468","540","20","5","5","0.0","0.0","0.0","0.0","0.0","1496","328","374","5.156"
"R053","C41","current","Khó","điều kiện xác định cá nhân cư trú theo số ngày có mặt tại Việt Nam trong năm dương lịch và 12 tháng liên tục","1","2","ok","20","5","5","1.0","0.4","0.919721","1.0","0.2","1983","455","496","20","5","5","1.0","0.4","0.570642","1.0","0.2","1986","453","497","20","5","5","1.0","0.4","0.919721","1.0","0.2","1918","439","480","20","5","5","1.0","0.4","1.0","1.0","0.2","1918","439","480","5.112"
"R054","C49","current","Khó","thời điểm bắt đầu khai thuế đối với hộ kinh doanh khi doanh thu lũy kế vượt ngưỡng 1 tỷ đồng","2","1","ok","20","5","5","1.0","0.2","0.5","1.0","0.2","1889","414","473","20","5","5","1.0","0.2","1.0","1.0","0.2","1625","355","407","20","5","5","1.0","0.2","1.0","1.0","0.2","1456","323","364","20","5","5","1.0","0.2","1.0","1.0","0.2","1556","344","389","4.807"
"R055","C39","current","Khó","gia hạn nộp thuế giá trị gia tăng tháng 6 năm 2026 đối với doanh nghiệp kinh doanh đa ngành có hoạt động vận tải","2","3","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","2345","511","587","20","5","5","1.0","0.6","1.0","1.0","0.6","1829","402","458","20","5","5","1.0","0.6","0.618289","1.0","0.6","2096","463","524","20","5","5","0.333333","0.2","0.469279","0.5","0.2","2228","500","557","11.811"
"R056","C42","current","Khó","Doanh nghiệp Việt Nam cung cấp sản phẩm nội dung số cho khách hàng nước ngoài và muốn áp dụng thuế suất giá trị gia tăng 0%. Doanh nghiệp phải chứng minh những nhóm điều kiện chính nào?","3","3","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","2243","494","561","20","5","5","0.0","0.0","0.0","0.0","0.0","1913","422","479","20","5","5","0.0","0.0","0.0","0.0","0.0","2239","489","560","20","5","5","0.333333","0.2","0.469279","0.333333","0.2","1936","423","484","20.182"
"R057","C32","current","Khó","Cá nhân cư trú kinh doanh vận tải có doanh thu năm 2,5 tỷ đồng, chọn tính thu nhập cá nhân theo tỷ lệ trên doanh thu và tính giá trị gia tăng trực tiếp. Tổng thuế giá trị gia tăng và thu nhập cá nhân phải nộp là bao nhiêu?","3","3","ok","20","5","5","0.666667","0.4","0.530721","0.333333","0.4","2220","493","555","20","5","5","0.333333","0.2","0.296082","0.333333","0.2","1833","395","459","20","5","5","0.666667","0.4","0.671386","0.666667","0.6","2089","464","523","20","5","5","0.0","0.0","0.0","0.0","0.0","1145","249","287","5.553"
"R058","C47","current","Khó","phương pháp tính thuế thu nhập cá nhân cho cá nhân kinh doanh theo doanh thu","2","1","ok","20","5","5","1.0","0.2","1.0","1.0","0.4","1905","421","477","20","5","5","1.0","0.2","0.5","1.0","0.4","1719","370","430","20","5","5","1.0","0.2","1.0","1.0","0.4","1674","361","419","20","5","5","1.0","0.2","0.63093","0.5","0.2","1749","378","438","4.578"
