"case_id","fact_coverage","evidence_precision","temporal_accuracy","temporal_evidence_precision","answer_correctness","groundedness","evidence_count","inference_status","judge_status","duration_seconds","error"
"Q039","1.0","0.666667","1.0","1.0","1.0","1.0","3","ok","ok","96.223",""
"Q040","1.0","1.0","1.0","1.0","1.0","1.0","3","ok","ok","58.981",""
"Q041","1.0","0.5","1.0","0.5","1.0","1.0","4","ok","ok","109.095",""
"Q042","1.0","1.0","0.0","0.0","0.9","1.0","1","ok","ok","77.132",""
"Q043","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","72.237",""
"Q044","0.5","0.25","1.0","0.0","1.0","1.0","4","ok","ok","71.521",""
"Q045","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","99.861",""
"Q046","1.0","0.333333","1.0","0.666667","0.9","1.0","3","ok","ok","120.236",""
"Q047","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","118.006",""
"Q048","0.5","0.333333","1.0","0.666667","0.2","1.0","3","ok","ok","121.024",""
"Q049","1.0","0.5","1.0","0.5","1.0","1.0","2","ok","ok","71.134",""
"Q050","0.666667","0.5","1.0","0.25","0.8","0.666667","4","ok","ok","115.84",""
"Q051","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","52.538",""
"Q052","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","58.074",""
"Q053","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","45.632",""
"Q054","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","53.097",""
"Q055","1.0","0.5","1.0","0.5","1.0","1.0","2","ok","ok","58.216",""
"Q056","1.0","0.5","1.0","1.0","1.0","1.0","2","ok","ok","48.149",""
"Q057","0.0","0.0","0.0","0.0","0.0","0.0","0","ok","ok","103.428",""
"Q058","0.0","0.0","0.5","0.0","0.0","0.0","0","ok","ok","123.855",""
"Q059","1.0","0.5","1.0","1.0","1.0","1.0","2","ok","ok","54.7",""
"Q060","1.0","0.5","0.0","0.0","0.8","1.0","2","ok","ok","40.947",""
"Q061","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","58.664",""
"Q062","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","53.651",""
"Q063","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","46.706",""
"Q064","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","44.654",""
"Q065","0.0","0.0","1.0","1.0","1.0","0.0","1","ok","ok","48.917",""
"Q066","0.0","0.0","1.0","0.0","0.5","0.5","1","ok","ok","147.466",""
"Q067","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","46.282",""
"Q068","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","41.097",""
"Q069","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","59.697",""
"Q070","0.5","1.0","1.0","0.0","1.0","1.0","1","ok","ok","58.045",""
"Q071","1.0","0.5","1.0","0.5","1.0","1.0","2","ok","ok","148.264",""
"Q072","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","84.498",""
"Q073","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","77.06",""
"Q074","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","44.548",""
"Q075","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","46.611",""
"Q076","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","46.227",""
"Q077","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","46.071",""
"Q078","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","46.156",""
"Q079","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","47.496",""
"Q080","1.0","0.4","1.0","1.0","1.0","1.0","5","ok","ok","79.701",""
"Q081","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","41.845",""
"Q082","1.0","1.0","1.0","1.0","1.0","0.75","2","ok","ok","94.898",""
"Q083","1.0","1.0","0.0","1.0","0.0","0.0","1","ok","ok","51.938",""
"Q084","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","59.719",""
"Q085","1.0","0.666667","1.0","1.0","0.9","1.0","3","ok","ok","47.12",""
"Q086","0.0","0.0","0.5","0.0","0.0","0.0","0","ok","ok","118.863",""
"Q087","0.5","0.5","1.0","0.5","0.6","0.5","2","ok","ok","50.283",""
"Q088","0.0","0.0","0.5","0.0","0.0","0.0","0","ok","ok","109.39",""
"Q089","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","50.751",""
"Q090","1.0","0.666667","1.0","0.666667","1.0","1.0","3","ok","ok","99.594",""
"Q091","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","46.183",""
"Q092","1.0","1.0","1.0","1.0","1.0","1.0","3","ok","ok","51.553",""
"Q093","1.0","0.666667","1.0","1.0","1.0","1.0","3","ok","ok","53.199",""
"Q094","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","46.012",""
"Q095","0.0","0.0","0.5","0.0","0.0","0.0","0","ok","ok","102.419",""
"Q096","1.0","1.0","1.0","1.0","0.9","0.5","1","ok","ok","107.549",""
"Q097","0.5","1.0","0.0","0.0","0.6","0.5","1","ok","ok","52.853",""
"Q098","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","78.815",""
"Q099","0.5","1.0","0.0","1.0","0.2","0.5","1","ok","ok","43.118",""
"Q100","0.0","0.0","0.5","0.0","0.0","0.0","0","ok","ok","94.531",""
"Q101","1.0","1.0","1.0","0.333333","1.0","1.0","3","ok","ok","39.225",""
"Q102","1.0","0.333333","1.0","0.333333","1.0","1.0","3","ok","ok","73.863",""
"Q103","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","52.499",""
"Q104","1.0","0.333333","1.0","0.666667","1.0","1.0","3","ok","ok","56.471",""
"Q105","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","48.12",""
"Q106","1.0","0.5","1.0","0.5","1.0","1.0","2","ok","ok","39.941",""
"Q107","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","43.185",""
"Q108","1.0","0.666667","1.0","0.333333","1.0","1.0","3","ok","ok","54.488",""
"Q109","1.0","0.5","1.0","0.5","1.0","1.0","2","ok","ok","111.859",""
"Q110","1.0","0.5","1.0","0.5","1.0","1.0","2","ok","ok","86.182",""
"Q111","1.0","0.333333","1.0","0.333333","1.0","1.0","3","ok","ok","182.255",""
"Q112","1.0","0.5","1.0","0.25","1.0","1.0","4","ok","ok","122.323",""
"Q113","1.0","0.333333","1.0","1.0","1.0","1.0","3","ok","ok","95.309",""
"Q114","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","239.318",""
"Q115","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","158.309",""
"Q116","1.0","0.5","1.0","0.5","1.0","1.0","2","ok","ok","82.707",""
"Q117","1.0","0.5","1.0","0.5","0.7","0.5","2","ok","ok","85.989",""
"Q118","0.666667","0.25","1.0","0.5","0.0","0.333333","4","ok","ok","151.242",""
"Q119","1.0","0.333333","1.0","0.5","0.2","0.6","6","ok","ok","156.915",""
"Q120","0.2","0.2","1.0","0.2","0.7","1.0","5","ok","ok","185.357",""
"Q121","1.0","0.5","1.0","1.0","1.0","1.0","2","ok","ok","167.913",""
"Q122","0.0","0.0","1.0","1.0","1.0","1.0","1","ok","ok","85.278",""
"Q123","1.0","1.0","1.0","0.0","1.0","1.0","1","ok","ok","48.658",""
"Q124","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","57.171",""
"Q125","0.0","0.0","1.0","0.0","1.0","0.0","1","ok","ok","43.408",""
"Q126","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","42.249",""
"Q127","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","79.239",""
"Q128","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","73.865",""
"Q129","1.0","0.75","1.0","1.0","0.9","0.5","4","ok","ok","89.167",""
"Q130","0.666667","0.333333","1.0","0.333333","0.8","1.0","3","ok","ok","101.853",""
"Q131","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","47.773",""
"Q132","0.0","0.0","1.0","1.0","0.2","0.5","1","ok","ok","83.243",""
"Q133","0.4","0.666667","0.0","0.333333","0.9","1.0","6","ok","ok","138.115",""
"Q134","0.0","0.0","0.0","0.0","0.6","1.0","1","ok","ok","92.429",""
"Q135","0.666667","0.6","0.0","1.0","0.9","0.888889","5","ok","ok","282.814",""
"Q136","0.5","0.5","1.0","1.0","0.9","0.6","2","ok","ok","122.544",""
"Q137","0.5","0.5","1.0","0.75","0.9","1.0","4","ok","ok","141.369",""
"Q138","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","74.588",""
"Q139","1.0","0.222222","1.0","0.666667","1.0","1.0","9","ok","ok","89.57",""
"Q140","0.666667","0.142857","1.0","1.0","1.0","1.0","7","ok","ok","147.443",""
"Q141","1.0","0.25","1.0","0.5","1.0","1.0","4","ok","ok","109.988",""
"Q142","0.0","0.0","1.0","0.25","0.9","1.0","4","ok","ok","147.982",""
"Q143","0.0","0.0","1.0","0.166667","1.0","1.0","6","ok","ok","106.739",""
"Q144","0.4","0.4","1.0","0.8","1.0","1.0","5","ok","ok","202.35",""
"Q145","0.0","0.0","1.0","1.0","0.6","1.0","5","ok","ok","338.486",""
"Q146","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","70.6",""
"Q147","0.333333","0.5","1.0","0.5","0.9","1.0","2","ok","ok","161.226",""
"Q148","0.333333","0.5","1.0","0.0","0.9","0.666667","2","ok","ok","123.684",""
"Q149","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","220.139",""
"Q150","1.0","1.0","1.0","1.0","0.8","0.666667","1","ok","ok","184.644",""
"Q151","0.0","0.0","1.0","1.0","0.0","0.0","2","ok","ok","363.889",""
"Q152","1.0","1.0","1.0","1.0","0.8","1.0","2","ok","ok","151.473",""
"Q153","0.5","0.333333","1.0","0.0","0.9","1.0","3","ok","ok","278.067",""
"Q154","1.0","0.5","1.0","1.0","1.0","1.0","2","ok","ok","383.003",""
"Q155","1.0","0.333333","0.0","0.333333","0.6","0.857143","3","ok","ok","257.858",""
"Q156","1.0","1.0","1.0","0.0","1.0","1.0","2","ok","ok","123.726",""
"Q157","0.0","0.0","0.0","1.0","0.2","0.666667","2","ok","ok","530.253",""
"Q158","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","114.262",""
"Q159","0.0","0.0","1.0","0.2","0.2","0.666667","5","ok","ok","196.851",""
"Q160","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","140.565",""
"Q161","0.333333","1.0","1.0","1.0","0.6","0.5","1","ok","ok","184.504",""
"Q162","1.0","0.25","1.0","0.75","0.9","1.0","4","ok","ok","174.824",""
"Q163","1.0","0.333333","1.0","0.666667","1.0","1.0","3","ok","ok","86.461",""
"Q164","0.4","1.0","1.0","1.0","0.9","1.0","2","ok","ok","849.381",""
"Q165","1.0","0.666667","0.0","0.333333","1.0","1.0","3","ok","ok","385.647",""
"Q166","1.0","1.0","1.0","1.0","1.0","1.0","3","ok","ok","44.573",""
"Q167","1.0","0.8","1.0","0.6","1.0","1.0","5","ok","ok","147.016",""
"Q168","0.0","0.0","0.5","0.0","0.0","0.0","0","ok","ok","374.454",""
"Q169","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","104.43",""
"Q170","1.0","0.666667","1.0","0.666667","0.9","1.0","3","ok","ok","173.986",""
"Q171","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","110.445",""
"Q172","0.333333","1.0","0.0","0.0","0.3","0.333333","1","ok","ok","193.906",""
"Q173","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","224.647",""
"Q174","1.0","0.666667","1.0","1.0","1.0","1.0","6","ok","ok","553.777",""
"Q175","0.0","0.0","1.0","0.666667","0.6","1.0","3","ok","ok","255.476",""
"Q176","0.0","0.0","0.0","1.0","0.2","1.0","1","ok","ok","301.867",""
"Q177","0.0","0.0","1.0","1.0","0.85","0.833333","3","ok","ok","97.106",""
"Q178","1.0","0.5","1.0","1.0","1.0","1.0","2","ok","ok","51.316",""
"Q179","0.75","0.6","1.0","1.0","1.0","1.0","5","ok","ok","80.483",""
"Q180","1.0","0.142857","1.0","1.0","1.0","1.0","7","ok","ok","110.694",""
"Q181","0.333333","0.5","1.0","1.0","0.8","1.0","2","ok","ok","46.361",""
"Q182","0.75","1.0","1.0","1.0","0.8","1.0","1","ok","ok","53.85",""
"Q183","1.0","0.333333","1.0","1.0","1.0","1.0","3","ok","ok","71.115",""
"Q184","1.0","0.5","1.0","0.5","0.9","1.0","2","ok","ok","71.761",""
"Q185","1.0","0.333333","1.0","0.333333","1.0","1.0","3","ok","ok","72.769",""
"Q186","1.0","0.75","1.0","0.25","1.0","1.0","4","ok","ok","78.767",""
"Q187","0.5","1.0","1.0","1.0","0.7","1.0","2","ok","ok","42.852",""
"Q188","1.0","0.333333","1.0","1.0","0.9","1.0","3","ok","ok","73.91",""
"Q189","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","46.113",""
"Q190","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","41.159",""
"Q191","1.0","0.666667","1.0","1.0","1.0","1.0","3","ok","ok","107.412",""
"Q192","1.0","1.0","1.0","1.0","1.0","0.666667","1","ok","ok","57.909",""
"Q193","1.0","0.4","1.0","1.0","1.0","1.0","5","ok","ok","114.872",""
"Q194","1.0","1.0","1.0","1.0","0.3","1.0","1","ok","ok","45.836",""
"Q195","0.5","0.5","1.0","1.0","1.0","1.0","2","ok","ok","77.405",""
"Q196","0.75","1.0","0.0","0.0","1.0","1.0","1","ok","ok","43.636",""
"Q197","0.5","0.333333","1.0","0.333333","1.0","1.0","3","ok","ok","73.741",""
"Q198","0.0","0.0","0.5","0.0","0.0","0.0","0","ok","ok","103.146",""
"Q199","0.333333","1.0","1.0","1.0","0.8","1.0","1","ok","ok","104.692",""
"Q200","1.0","0.5","0.0","0.5","1.0","1.0","2","ok","ok","112.827",""
"Q201","1.0","1.0","1.0","0.5","1.0","1.0","2","ok","ok","78.349",""
"Q202","0.0","0.0","1.0","0.5","0.4","0.333333","2","ok","ok","97.54",""
"Q203","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","42.349",""
"Q204","1.0","0.333333","1.0","1.0","1.0","1.0","3","ok","ok","41.085",""
"Q205","1.0","0.333333","1.0","0.666667","1.0","1.0","3","ok","ok","83.907",""
"Q206","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","43.389",""
"Q207","1.0","1.0","1.0","0.333333","1.0","1.0","3","ok","ok","39.916",""
"Q208","1.0","1.0","1.0","0.0","1.0","1.0","2","ok","ok","38.585",""
"Q209","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","48.759",""
"Q210","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","67.818",""
"Q211","1.0","0.5","1.0","1.0","1.0","1.0","2","ok","ok","42.506",""
"Q212","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","41.054",""
"Q213","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","43.931",""
"Q214","1.0","0.333333","1.0","1.0","1.0","1.0","3","ok","ok","44.56",""
"Q215","1.0","0.5","1.0","0.5","1.0","1.0","2","ok","ok","40.6",""
"Q216","1.0","0.333333","1.0","0.666667","1.0","1.0","3","ok","ok","47.961",""
"Q217","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","46.002",""
"Q218","1.0","0.166667","1.0","0.666667","0.6","1.0","6","ok","ok","178.074",""
"Q219","1.0","0.5","1.0","0.5","1.0","1.0","2","ok","ok","46.694",""
"Q220","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","53.739",""
"Q221","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","61.812",""
"Q222","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","48.623",""
"Q223","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","40.169",""
"Q224","0.5","1.0","0.5","1.0","0.6","0.5","1","ok","ok","184.023",""
"Q225","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","50.859",""
"Q226","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","76.164",""
"Q227","1.0","1.0","1.0","1.0","0.9","1.0","1","ok","ok","73.586",""
"Q228","1.0","0.333333","1.0","1.0","1.0","1.0","3","ok","ok","43.125",""
"Q229","0.0","0.0","0.0","0.0","0.0","0.0","2","ok","ok","56.301",""
"Q230","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","54.128",""
"Q231","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","48.038",""
"Q232","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","51.513",""
"Q233","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","45.512",""
"Q234","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","43.302",""
"Q235","1.0","0.5","1.0","1.0","1.0","1.0","2","ok","ok","56.822",""
"Q236","0.0","0.0","0.0","0.0","0.0","0.0","0","ok","ok","174.571",""
"Q237","0.5","0.5","1.0","0.5","1.0","1.0","2","ok","ok","77.694",""
"Q238","1.0","0.125","1.0","0.875","1.0","1.0","8","ok","ok","150.43",""
"Q239","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","78.53",""
"Q240","1.0","0.5","1.0","1.0","1.0","1.0","2","ok","ok","46.138",""
"Q241","1.0","0.4","1.0","0.8","1.0","1.0","5","ok","ok","118.563",""
"Q242","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","40.332",""
"Q243","0.5","0.333333","1.0","1.0","1.0","1.0","3","ok","ok","77.759",""
"Q244","1.0","0.5","1.0","1.0","1.0","1.0","2","ok","ok","73.202",""
"Q245","1.0","0.333333","1.0","1.0","1.0","1.0","3","ok","ok","81.639",""
"Q246","1.0","0.5","1.0","1.0","1.0","1.0","4","ok","ok","52.04",""
"Q247","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","76.523",""
"Q248","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","78.182",""
"Q249","1.0","0.333333","1.0","0.666667","1.0","1.0","3","ok","ok","86.428",""
"Q250","1.0","0.25","1.0","0.5","1.0","1.0","4","ok","ok","57.231",""
"Q251","0.5","0.4","1.0","0.6","0.8","1.0","5","ok","ok","79.12",""
"Q252","0.5","0.25","1.0","0.75","0.8","1.0","4","ok","ok","47.138",""
"Q253","1.0","0.666667","1.0","1.0","1.0","1.0","3","ok","ok","82.353",""
"Q254","1.0","0.666667","1.0","1.0","1.0","1.0","3","ok","ok","45.527",""
"Q255","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","45.835",""
"Q256","0.333333","0.333333","1.0","1.0","0.8","1.0","3","ok","ok","114.984",""
"Q257","1.0","0.666667","1.0","1.0","1.0","1.0","3","ok","ok","41.122",""
"Q258","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","45.635",""
"Q259","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","48.589",""
"Q260","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","87.251",""
"Q261","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","76.257",""
"Q262","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","111.644",""
"Q263","1.0","1.0","1.0","0.5","1.0","1.0","2","ok","ok","46.462",""
"Q264","1.0","0.5","1.0","0.5","1.0","1.0","4","ok","ok","86.25",""
"Q265","0.5","0.5","1.0","1.0","0.8","1.0","2","ok","ok","83.262",""
"Q266","0.666667","1.0","1.0","1.0","0.95","1.0","2","ok","ok","155.499",""
"Q267","1.0","0.5","1.0","1.0","0.8","0.75","4","ok","ok","117.502",""
"Q268","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","88.045",""
"Q269","1.0","0.666667","1.0","1.0","1.0","1.0","3","ok","ok","91.814",""
"Q270","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","71.811",""
"Q271","1.0","0.5","1.0","0.5","1.0","1.0","2","ok","ok","87.344",""
"Q272","1.0","0.5","1.0","0.5","1.0","1.0","4","ok","ok","95.478",""
"Q273","1.0","0.5","1.0","1.0","1.0","0.857143","4","ok","ok","126.71",""
"Q274","1.0","0.166667","1.0","0.5","1.0","1.0","6","ok","ok","85.616",""
"Q275","1.0","0.5","1.0","1.0","0.2","1.0","2","ok","ok","45.727",""
"Q276","1.0","0.333333","1.0","1.0","1.0","1.0","3","ok","ok","93.01",""
"Q277","1.0","1.0","1.0","1.0","1.0","1.0","3","ok","ok","86.047",""
"Q278","1.0","0.5","1.0","1.0","1.0","1.0","2","ok","ok","45.287",""
"Q279","0.0","0.0","0.0","0.0","0.0","0.0","0","ok","ok","103.311",""
"Q280","1.0","0.333333","1.0","1.0","1.0","1.0","3","ok","ok","125.221",""
"Q281","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","87.422",""
"Q282","1.0","1.0","1.0","1.0","1.0","1.0","3","ok","ok","73.336",""
"Q283","1.0","0.5","1.0","1.0","1.0","1.0","4","ok","ok","80.513",""
"Q284","1.0","0.666667","1.0","1.0","1.0","1.0","3","ok","ok","85.659",""
"Q285","1.0","0.5","1.0","1.0","1.0","1.0","4","ok","ok","88.019",""
"Q286","1.0","0.5","1.0","0.75","1.0","1.0","4","ok","ok","93.11",""
"Q287","0.0","0.0","0.5","0.0","0.0","0.0","0","ok","ok","211.214",""
"Q288","1.0","0.666667","1.0","1.0","1.0","1.0","3","ok","ok","135.273",""
"Q289","1.0","0.75","1.0","1.0","1.0","1.0","4","ok","ok","161.847",""
"Q290","0.333333","0.25","0.0","1.0","0.1","0.666667","4","ok","ok","108.313",""
"Q291","0.5","0.666667","0.0","0.666667","0.2","0.5","3","ok","ok","93.649",""
"Q292","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","88.483",""
"Q293","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","91.552",""
"Q294","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","83.208",""
"Q295","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","84.368",""
"Q296","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","81.48",""
"Q297","0.0","0.0","0.5","0.0","0.0","0.0","0","ok","ok","201.098",""
"Q298","1.0","0.5","1.0","1.0","0.8","0.8","2","ok","ok","249.261",""
"Q299","0.0","0.0","0.5","0.0","0.0","0.0","0","ok","ok","243.387",""
"Q300","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","81.41",""
