"case_id","fact_coverage","evidence_precision","temporal_accuracy","temporal_evidence_precision","answer_correctness","groundedness","evidence_count","inference_status","judge_status","duration_seconds","error"
"Q089","1","0.6","1","0.6","1","1","5","ok","ok","37.456",""
"Q090","0.5","0.2","0","0.4","0.4","0.667","5","ok","ok","23.306",""
"Q091","0","0","0","0.6","0.2","1","5","ok","ok","15.761",""
"Q092","0.5","0.6","0","0.2","0.3","0.5","5","ok","ok","16.484","Temporal judge failed: Temporal judge response must be a JSON object"
"Q093","0.5","0.4","0","0.4","0.5","0.75","5","ok","ok","16.151",""
"Q094","1","0.2","1","0.4","1","1","5","ok","ok","32.562",""
"Q095","0","0","1","0.6","1","1","5","ok","ok","37.639",""
"Q096","0","0","0","0.2","0","0.5","5","ok","ok","16.659",""
"Q097","0","0","0","0.6","0.2","0.5","5","ok","ok","17.361",""
"Q098","1","0.2","0","0","0.9","1","5","ok","ok","19.719",""
"Q099","0.5","0.2","1","0.6","0.7","1","5","ok","ok","18.411",""
"Q100","0","0.2","0","1","0.2","1","5","ok","ok","17.28",""
"Q101","1","0.6","1","0.2","1","1","5","ok","ok","21.536",""
"Q102","1","0.2","1","0.2","0.8","1","5","ok","ok","25.293",""
"Q103","0.333","0.2","0.5","0.8","0.8","0.167","5","ok","ok","46.28",""
"Q104","0","0","0","0.8","0.2","1","5","ok","ok","18.568",""
"Q105","0.333","0.4","1","0.6","0.4","1","5","ok","ok","18.991",""
"Q106","1","0.6","1","0.8","1","1","5","ok","ok","16.49",""
"Q107","1","0.2","1","0.2","1","1","5","ok","ok","15.271",""
"Q108","1","0.6","1","0.4","1","1","5","ok","ok","39.407",""
"Q109","1","0.2","0.5","0.2","1","1","5","ok","ok","16.811",""
"Q110","1","0.4","1","0.6","0.9","1","5","ok","ok","30.367",""
"Q111","0.5","0.2","0.5","1","0.5","0.5","5","ok","ok","17.522",""
"Q112","1","0.4","1","0.2","1","1","5","ok","ok","17.636",""
"Q113","1","0.4","0","0","1","1","5","ok","ok","17.437",""
"Q114","1","0.2","1","0.4","1","1","5","ok","ok","54.78",""
"Q115","1","1","1","0.6","1","1","5","ok","ok","138.487",""
"Q116","0","0","0","0.4","0","0","5","ok","ok","15.919",""
"Q117","1","0.2","1","0.6","1","1","5","ok","ok","19.295",""
"Q118","0.333","0.4","0","0","0","0.333","5","ok","ok","20.641",""
"Q119","0.5","0.2","0.5","0.2","0.4","1","5","ok","ok","19.178",""
"Q120","0","0","0","0.2","0.3","0.667","5","ok","ok","20.534",""
"Q121","1","0.4","1","0.4","1","1","5","ok","ok","17.223",""
"Q122","1","0.8","1","0.4","1","1","5","ok","ok","17.245",""
"Q123","1","0.2","1","0","1","1","5","ok","ok","22.075",""
"Q124","1","0.4","1","0.2","1","1","5","ok","ok","19.15",""
"Q125","0","0.2","1","0","1","1","5","ok","ok","16.034",""
"Q126","0.5","0.2","1","0.4","1","1","5","ok","ok","17.484",""
"Q127","1","0.4","1","0.2","1","1","5","ok","ok","15.793",""
"Q128","1","0.4","1","0.6","1","1","5","ok","ok","21.894",""
"Q129","0","0.4","0","0.4","0","0.5","5","ok","ok","19.809",""
"Q130","0.333","0.2","1","0.4","0.4","1","5","ok","ok","18.024",""
"Q131","0","0","0","0.2","0.2","1","5","ok","ok","16.286",""
"Q132","0","0","0","0.8","0","0","5","ok","ok","16.193",""
"Q133","0.25","0.4","1","1","0.7","0.75","5","ok","ok","16.104",""
"Q134","0.5","0.2","1","0.6","0.4","0.8","5","ok","ok","18.309",""
"Q135","0","0","0.5","0","0.3","0.667","5","ok","ok","18.862",""
"Q136","0.5","0.6","1","0.8","0.4","0.5","5","ok","ok","19.823",""
"Q137","0.333","0.2","1","0.4","0.9","0.833","5","ok","ok","18.924",""
"Q138","0","0","1","0.6","0.8","0.6","5","ok","ok","16.374",""
"Q139","0","0","1","0.4","0.3","0.5","5","ok","ok","15.478",""
"Q140","1","0.4","1","0.4","0.8","1","5","ok","ok","16.197",""
"Q141","1","0.2","0.5","0.4","1","1","5","ok","ok","17.141",""
"Q142","0","0","0","0.4","0.4","0.25","5","ok","ok","16.169",""
"Q143","1","0.2","1","0.4","0.8","0.667","5","ok","ok","16.106",""
"Q144","0.4","0.4","1","0.4","0.6","0.75","5","ok","ok","16.821",""
"Q145","0","0","0","0.4","0.2","0.667","5","ok","ok","15.886",""
"Q146","1","0.4","1","0.8","1","1","5","ok","ok","15.254",""
"Q147","0","0","1","0.4","0.6","0","5","ok","ok","15.709",""
"Q148","0","0","0","0.2","0.3","0.333","5","ok","ok","17.256",""
"Q149","0","0","0","0.2","0","0.5","5","ok","ok","15.799",""
"Q150","1","0.2","1","0.4","0.8","0.75","5","ok","ok","15.899",""
"Q151","0","0","1","0.4","0.9","1","5","ok","ok","14.804",""
"Q152","0","0","0","0.4","0.2","0.333","5","ok","ok","15.112",""
"Q153","0.5","0.6","0","0.4","0.6","0.75","5","ok","ok","16.629",""
"Q154","1","0.2","1","0.6","0.7","1","5","ok","ok","16.083",""
"Q155","1","0.4","1","0.6","0.4","0.667","5","ok","ok","15.314",""
"Q156","1","0.4","1","0","1","1","5","ok","ok","27.708",""
"Q157","1","0.4","1","0.4","0.9","1","5","ok","ok","15.903",""
"Q158","1","0.8","1","1","1","1","5","ok","ok","17.771",""
"Q159","0","0","0","0.4","0.2","0.25","5","ok","ok","17.154",""
"Q160","0.667","0.4","0","0.8","0.6","1","5","ok","ok","15.944",""
"Q161","0","0","0","0.4","0.2","1","5","ok","ok","16.601",""
"Q162","0","0","0","0.4","0.2","1","5","ok","ok","17.51",""
"Q163","0","0","0","0.4","0.5","0.6","5","ok","ok","16.233",""
"Q164","0.25","0.2","1","0.4","0.6","1","5","ok","ok","15.852",""
"Q165","0.5","0.2","0","0.4","0.8","1","5","ok","ok","16.044",""
"Q166","0","0.2","1","0.8","0.4","1","5","ok","ok","16.331",""
"Q167","0.667","0.4","0.5","0.2","0.6","0.833","5","ok","ok","16.546",""
"Q168","0","0","0.5","0.6","0.4","0.333","5","ok","ok","16.303",""
"Q169","1","0.4","1","0.4","1","1","5","ok","ok","16.721",""
"Q170","0.5","0.2","0.5","0.4","0.6","1","5","ok","ok","16.902",""
"Q171","1","0.6","1","1","0.8","0.75","5","ok","ok","14.893",""
"Q172","0","0","0","0.2","0.4","0.125","5","ok","ok","16.172",""
"Q173","0.5","0.4","1","0.8","0.8","1","5","ok","ok","14.524",""
"Q174","0.75","0.4","1","0.4","0.8","1","5","ok","ok","16.044",""
"Q175","0","0","0","0.4","0.2","1","5","ok","ok","15.673",""
"Q176","0.5","0.4","1","0.6","0.6","0.6","5","ok","ok","15.737",""
"Q177","0.5","0.4","1","0.4","0.4","1","5","ok","ok","16.9",""
"Q178","1","0.4","1","0.6","1","1","5","ok","ok","15.349",""
"Q179","0.5","0.4","1","1","0.6","1","5","ok","ok","14.806",""
"Q180","0","0","0","1","0.2","0.857","5","ok","ok","22.744",""
"Q181","0.333","0.4","1","0.6","0.6","0.75","5","ok","ok","16.201",""
"Q182","0.5","0.8","1","0.8","0.7","1","5","ok","ok","16.894",""
"Q183","0","0.4","1","0.8","0.9","1","5","ok","ok","15.294",""
"Q184","1","0.6","1","0.4","0.9","1","5","ok","ok","15.274",""
"Q185","0.667","0.2","1","0.8","0.8","1","5","ok","ok","15.865",""
"Q186","0.667","0.2","0","0.6","0.4","1","5","ok","ok","15.687",""
"Q187","0","0.2","1","0.6","0.3","0.667","5","ok","ok","17.614",""
"Q188","0","0","0","1","0.4","1","5","ok","ok","16.154",""
"Q189","1","0.2","1","0.8","1","1","5","ok","ok","16.51",""
"Q190","1","0.4","1","0.6","1","1","5","ok","ok","18.802",""
"Q191","0.4","0.6","1","0.8","0.6","1","5","ok","ok","15.712",""
"Q192","1","0.6","1","1","1","1","5","ok","ok","15.568",""
"Q193","1","0.4","1","1","1","1","5","ok","ok","16.479",""
"Q194","0","0","0","0.4","0.8","1","5","ok","ok","16.42",""
"Q195","1","0.2","1","1","0.8","1","5","ok","ok","15.806",""
"Q196","0.75","0.4","1","0.6","0.8","1","5","ok","ok","17.896",""
"Q197","0.5","0.2","1","0.2","0.6","0.333","5","ok","ok","15.619",""
"Q198","0","0","0","0.6","0.2","1","5","ok","ok","16.234",""
"Q199","0.333","0.2","1","0.4","0.6","0.5","5","ok","ok","14.688",""
"Q200","0","0","1","0.4","0.2","0.167","5","ok","ok","16.293",""
"Q201","1","0.2","1","0.4","1","1","5","ok","ok","15.196",""
"Q202","1","0.2","0","0.4","1","1","5","ok","ok","15.383",""
"Q203","1","0.8","1","0.4","1","1","5","ok","ok","16.268",""
"Q204","0","0.2","1","1","0.2","1","5","ok","ok","18.787",""
"Q205","0","0","0","0.4","0.2","0.5","5","ok","ok","22.155",""
"Q206","1","0.4","1","0.6","1","1","5","ok","ok","16.164",""
"Q207","1","0.2","1","0.4","1","1","5","ok","ok","14.921",""
"Q208","1","0.6","1","0","1","1","5","ok","ok","15.452",""
"Q209","1","0.4","1","0.4","1","1","5","ok","ok","15.44",""
"Q210","1","0.2","1","1","1","1","5","ok","ok","16.385",""
"Q211","1","0.2","1","0.8","1","1","5","ok","ok","15.786",""
"Q212","1","0.2","1","1","1","1","5","ok","ok","15.428",""
"Q213","1","0.2","1","0.4","1","1","5","ok","ok","14.015",""
"Q214","0.75","0.4","1","1","0.6","1","5","ok","ok","17.044",""
"Q215","1","0.2","1","0.6","1","1","5","ok","ok","16.31",""
"Q216","1","0.4","1","0.6","1","1","5","ok","ok","15.242",""
"Q217","1","0.4","1","0.4","1","1","5","ok","ok","15.843",""
"Q218","0","0","0","0.2","0.4","0.5","5","ok","ok","17.208",""
"Q219","1","0.8","1","0.4","1","1","5","ok","ok","14.235",""
"Q220","1","0.8","1","0.2","1","1","5","ok","ok","15.41",""
"Q221","1","0.4","1","0.8","1","1","5","ok","ok","15.062",""
"Q222","1","0.6","1","0.8","1","1","5","ok","ok","18.169",""
"Q223","1","0.4","1","0.6","1","1","5","ok","ok","15.726",""
"Q224","1","0.2","1","0.6","1","1","5","ok","ok","14.484",""
"Q225","1","0.2","1","0.4","1","1","5","ok","ok","16.625",""
"Q226","1","0.2","1","0.4","1","1","5","ok","ok","15.609",""
"Q227","1","0.4","0","0.2","1","1","5","ok","ok","15.02",""
"Q228","1","0.2","1","0.6","1","1","5","ok","ok","15.926",""
"Q229","1","0.2","1","0.4","1","1","5","ok","ok","14.852",""
"Q230","1","0.4","1","0.2","1","1","5","ok","ok","14.291",""
"Q231","1","0.2","1","0.2","1","1","5","ok","ok","14.76",""
"Q232","1","0.2","0","0","1","1","5","ok","ok","17.012",""
"Q233","1","0.2","1","0.2","1","1","5","ok","ok","15.427",""
"Q234","1","0.2","1","0.6","1","1","5","ok","ok","15.454",""
"Q235","1","0.2","1","0.2","1","1","5","ok","ok","15.461",""
"Q236","0","0.2","0","0.4","0.2","0.5","5","ok","ok","17.196",""
"Q237","0.5","0.4","1","0.4","1","1","5","ok","ok","16.125",""
"Q238","1","0.2","1","0.6","1","1","5","ok","ok","15.763",""
"Q239","0.667","0.2","1","1","1","1","5","ok","ok","15.76",""
"Q240","1","0.4","1","0.8","1","1","5","ok","ok","17.375",""
"Q241","0","0","0","0.2","0.2","0.667","5","ok","ok","16.297",""
"Q242","0","0.4","0","1","0.2","1","5","ok","ok","14.245",""
"Q243","0.5","0.2","1","0.4","0.7","0.75","5","ok","ok","15.007",""
"Q244","1","0.2","1","0.8","1","1","5","ok","ok","14.874",""
"Q245","1","0.6","1","0.4","0.8","1","5","ok","ok","16.672",""
"Q246","1","0.4","0.5","0.6","0.6","0.75","5","ok","ok","15.474",""
"Q247","1","0.4","1","0.6","1","1","5","ok","ok","17.764",""
"Q248","0","0.4","1","0.6","0.8","1","5","ok","ok","14.531",""
"Q249","1","0.4","1","0.4","1","1","5","ok","ok","18.224",""
"Q250","0","0.2","1","1","0.5","1","5","ok","ok","15.041",""
"Q251","0","0","1","0.4","0.4","1","5","ok","ok","18.256",""
"Q252","0.5","0.2","0.5","0.2","0.5","1","5","ok","ok","14.021",""
"Q253","1","0.4","0","0","0.8","1","5","ok","ok","15.94",""
"Q254","0.5","0.4","1","1","0.5","0.667","5","ok","ok","14.56",""
"Q255","1","0.4","1","0.8","1","1","5","ok","ok","15.047",""
"Q256","0.667","0.4","1","0.6","0.7","1","5","ok","ok","15.969",""
"Q257","1","0.4","1","0.8","1","1","5","ok","ok","16.461",""
"Q258","0","0.2","0.5","0.4","0.4","0.667","5","ok","ok","16.6",""
"Q259","1","0.2","1","0.4","1","1","5","ok","ok","15.05",""
"Q260","1","0.2","1","0.2","1","1","5","ok","ok","16.658",""
"Q261","1","0.2","1","0.2","1","1","5","ok","ok","15.577",""
"Q262","0.333","0.4","0","0.2","0.4","1","5","ok","ok","15.439",""
"Q263","0","0","0","0.2","0.2","0.75","5","ok","ok","16.38",""
"Q264","0.5","0.2","0.5","0.2","0.5","0.5","5","ok","ok","16.708",""
"Q265","0.5","0.2","1","0.2","0.8","0.833","5","ok","ok","17.423",""
"Q266","0.333","0.2","0","0.2","0.6","0.667","5","ok","ok","17.456",""
"Q267","0.333","0.2","1","0.4","0.4","1","5","ok","ok","15.62",""
"Q268","0.5","0.4","0.5","0.8","0.2","0.667","5","ok","ok","17.65",""
"Q269","0.5","0.2","0.5","0.4","0.5","0.5","5","ok","ok","16.973",""
"Q270","0.2","0.2","1","0.2","0.4","0.75","5","ok","ok","15.611",""
"Q271","1","0.8","0","1","1","1","5","ok","ok","18.262",""
"Q272","1","0.4","1","0.4","1","1","5","ok","ok","15.639",""
"Q273","1","0.2","1","1","1","1","5","ok","ok","16.431",""
"Q274","1","0.2","1","1","1","1","5","ok","ok","17.376",""
"Q275","1","0.2","1","0.6","1","1","5","ok","ok","15.258",""
"Q276","1","0.2","1","1","1","1","5","ok","ok","17.449",""
"Q277","0.333","0.2","0.5","0.2","0.4","1","5","ok","ok","15.128",""
"Q278","1","0.4","1","0.8","1","1","5","ok","ok","14.679",""
"Q279","1","0.2","1","0.6","1","1","5","ok","ok","15.239",""
"Q280","0","0","0","0.2","0.2","0.333","5","ok","ok","14.735",""
"Q281","1","0.4","1","0.6","1","1","5","ok","ok","15.727",""
"Q282","0","0","1","0","0.5","0.333","5","ok","ok","15.427",""
"Q283","0","0","0","0","0","0","5","ok","ok","16.605",""
"Q284","0.333","0.2","0","0","0.6","0.5","5","ok","ok","17.658",""
"Q285","1","0.4","1","0.6","1","1","5","ok","ok","38.081",""
"Q286","0","0.6","0","0.6","0.2","0.25","5","ok","ok","16.494",""
"Q287","0","0","0","0","0","0","5","ok","ok","17.821",""
"Q288","0","0","0","0","0.2","0.667","5","ok","ok","15.031",""
"Q289","1","0.4","0.5","0.8","0.8","0.875","5","ok","ok","16.64",""
"Q290","0.667","0.4","1","0.2","0.9","1","5","ok","ok","16.123",""
"Q291","0.5","0.2","0.5","0.4","0.3","1","5","ok","ok","17.556",""
"Q292","0","0","0","0.6","0.2","1","5","ok","ok","15.596",""
"Q293","1","0.6","1","0.6","1","1","5","ok","ok","32.468",""
"Q294","0","0","1","0","0.5","0.333","5","ok","ok","17.135",""
"Q295","0","0","0","0.2","0.4","0.5","5","ok","ok","16.465",""
"Q296","1","0.6","0.5","0.2","0.6","0.667","5","ok","ok","17.731",""
"Q297","0","0","0","0","0.2","1","5","ok","ok","16.925",""
"Q298","0","0","0","0","0.4","0.75","5","ok","ok","16.254",""
"Q299","0","0","0","0","0","1","5","ok","ok","15.915",""
"Q300","0","0","0","0","0","0","5","ok","ok","15.668",""
