"case_id","fact_coverage","evidence_precision","temporal_accuracy","temporal_evidence_precision","answer_correctness","groundedness","evidence_count","required_fact_count","inference_status","judge_status","duration_seconds","error"
"Q047","1","0.333","1","1","1","1","3","2","ok","ok","242.653",""
"Q048","1","0.6","1","1","0.6","0.833","5","4","ok","ok","337.241",""
"Q049","1","0.667","1","1","1","1","3","2","ok","ok","235.298",""
"Q050","1","0.8","1","1","1","1","5","3","ok","ok","419.017",""
"Q051","1","1","1","1","1","1","2","2","ok","ok","114.465",""
"Q052","1","1","1","1","1","1","2","2","ok","ok","150.746",""
"Q053","0","0","0.5","0","0.2","0","0","1","ok","ok","340.177",""
"Q054","1","1","1","1","1","1","2","1","ok","ok","117.188",""
"Q055","1","1","1","1","1","1","2","2","ok","ok","78.077",""
"Q056","1","0.5","1","1","1","1","2","1","ok","ok","152.28",""
"Q057","1","1","1","1","1","1","1","1","ok","ok","61.619",""
"Q058","1","1","1","1","1","1","1","2","ok","ok","141.34",""
"Q059","1","0.5","1","1","1","1","2","1","ok","ok","111.977",""
"Q060","1","0.5","1","1","1","1","2","1","ok","ok","79.381",""
"Q061","1","1","1","1","1","1","2","2","ok","ok","88.009",""
"Q062","1","1","1","1","1","1","1","2","ok","ok","82.839",""
"Q063","1","1","1","1","1","1","2","2","ok","ok","94.26",""
"Q064","1","1","1","1","1","1","1","2","ok","ok","106.211",""
"Q065","1","0.5","1","1","1","1","4","2","ok","ok","116.044",""
"Q066","0","0","1","1","1","1","1","1","ok","ok","151.06",""
"Q067","1","1","1","1","1","1","1","1","ok","ok","74.924",""
"Q068","1","1","1","1","1","1","1","2","ok","ok","102.009",""
"Q069","1","1","1","1","1","1","2","1","ok","ok","188.337",""
"Q070","1","0.25","0","1","0.2","1","4","1","ok","ok","278.238",""
"Q071","1","1","1","1","1","1","1","2","ok","ok","92.675",""
"Q072","1","1","1","1","1","1","1","1","ok","ok","92.845",""
"Q073","1","1","0.5","1","0.8","1","1","1","ok","ok","73.803",""
"Q074","0","0","0.5","0","0","0","0","1","failed","ok","4.173",""
"Q075","1","1","1","1","1","1","1","1","ok","ok","114.563",""
"Q076","1","0.75","1","1","1","1","4","4","ok","ok","179.939",""
"Q077","1","0.667","1","1","1","1","3","2","ok","ok","167.296",""
"Q078","1","0.667","1","1","1","1","3","2","ok","ok","432.001",""
"Q079","1","1","1","1","1","1","2","2","ok","ok","141.322",""
"Q080","1","0.333","1","1","1","1","6","2","ok","ok","222.964",""
"Q081","1","1","1","1","1","1","2","2","ok","ok","498.941",""
"Q082","1","1","1","1","1","1","4","1","ok","ok","245.813",""
"Q083","1","0.5","0","1","0.2","0","2","3","ok","ok","655.082",""
"Q084","1","0.6","1","1","0.7","1","5","2","ok","ok","247.103",""
"Q085","1","1","1","1","1","1","3","2","ok","ok","205.854",""
"Q086","1","0.667","1","1","1","1","3","1","ok","ok","171.262",""
"Q087","0.5","0.333","0","1","0.2","0.5","3","2","ok","ok","419.843",""
"Q088","1","1","1","1","0.2","0.5","2","2","ok","ok","284.122",""
"Q089","1","1","1","1","1","1","2","1","ok","ok","169.052",""
"Q090","1","0.333","1","1","1","1","3","2","ok","ok","344.333",""
"Q091","0.5","1","0.5","1","0.5","0.5","1","2","ok","ok","78.415",""
"Q092","0.5","1","1","1","1","0.5","2","2","ok","ok","174.854",""
"Q093","1","1","1","1","0.6","1","3","2","ok","ok","198.391",""
"Q094","1","1","1","1","1","1","1","2","ok","ok","86.153",""
"Q095","0.5","1","0.5","1","0.2","0.333","1","2","ok","ok","119.83",""
"Q096","1","0.667","1","1","1","1","3","1","ok","ok","95.356",""
"Q097","0.5","1","1","1","1","1","1","2","ok","ok","127.095",""
"Q098","1","1","1","1","1","1","2","1","ok","ok","451.041",""
"Q099","0.5","0.333","1","1","0.2","0.667","3","2","ok","ok","150.384",""
"Q100","1","1","1","1","1","1","2","1","ok","ok","212.539",""
"Q101","1","0.333","1","1","1","1","3","1","ok","ok","86.946",""
"Q102","1","1","1","1","1","1","1","2","ok","ok","47.381",""
"Q103","1","1","1","1","1","1","4","3","ok","ok","149.085",""
"Q104","1","1","1","1","0.2","0.667","1","2","ok","ok","103.25",""
"Q105","1","1","1","1","0.2","0.5","4","3","ok","ok","138.378",""
"Q106","1","1","1","1","1","1","2","1","ok","ok","82.09",""
"Q107","1","1","1","1","1","1","1","1","ok","ok","92.768",""
"Q108","1","1","1","1","1","1","2","1","ok","ok","112.685",""
"Q109","1","0.5","1","1","1","1","2","1","ok","ok","102.048",""
"Q110","1","1","1","1","1","1","1","1","ok","ok","65.277",""
"Q111","1","1","1","1","1","1","1","2","ok","ok","139.71",""
"Q112","0.5","0.25","1","1","1","1","4","2","ok","ok","125.207",""
"Q113","1","1","1","1","1","1","1","1","ok","ok","89.997",""
"Q114","1","1","1","1","1","1","2","2","ok","ok","163.503",""
"Q115","1","1","1","1","1","1","1","1","ok","ok","85.811",""
"Q116","1","1","1","1","1","1","1","3","ok","ok","81.593",""
"Q117","1","1","1","1","1","1","2","3","ok","ok","105.427",""
"Q118","1","0.667","1","1","0.2","0.75","3","3","ok","ok","168.318",""
"Q119","1","0.5","1","1","0.2","1","4","4","ok","ok","215.985",""
"Q120","0.2","0.333","1","1","0.2","0.4","3","5","ok","ok","830.709",""
"Q121","1","1","1","1","1","1","2","2","ok","ok","60.487",""
"Q122","1","1","1","1","1","1","1","1","ok","ok","323.728",""
"Q123","1","1","1","0","1","1","1","1","ok","ok","147.148",""
"Q124","1","0.5","1","1","1","1","2","2","ok","ok","74.814",""
"Q125","1","1","1","1","1","1","1","1","ok","ok","64.273",""
"Q126","1","1","1","1","1","1","1","2","ok","ok","54.641",""
"Q127","1","1","1","1","1","1","1","2","ok","ok","97.343",""
"Q128","1","0.667","1","1","1","1","3","4","ok","ok","543.638",""
"Q129","0.5","1","0","1","0.2","0","2","2","ok","ok","573.633",""
"Q130","0.333","1","0.5","1","0.2","0.5","1","3","ok","ok","305.249",""
"Q131","1","1","1","1","1","1","2","2","ok","ok","91.826",""
"Q132","0","0","1","1","0","0.333","4","1","ok","ok","311.477",""
"Q133","0.75","0.5","1","1","0.95","1","6","4","ok","ok","159.592",""
"Q134","1","1","1","0.5","1","1","4","2","ok","ok","203.226",""
"Q135","0.6","0.714","1","0.714286","0.7","1","7","5","ok","ok","651.723",""
"Q136","1","0.5","0","1","0.2","1","6","2","ok","ok","276.863",""
"Q137","0.333","0.5","1","1","0.5","1","4","3","ok","ok","444.065",""
"Q138","1","0.5","1","1","1","1","4","1","ok","ok","231.916",""
"Q139","0.5","0.167","1","1","0.9","0.5","6","2","ok","ok","427.076",""
"Q140","0.333","0.167","1","1","0.8","1","6","3","ok","ok","359.199",""
"Q141","1","1","1","1","0.8","1","1","2","ok","ok","335.521",""
"Q142","1","0.5","1","1","0.9","1","2","1","ok","ok","300.602",""
"Q143","1","0.5","1","1","1","1","2","1","ok","ok","125.184",""
"Q144","0.8","0.375","1","0.75","1","1","8","5","ok","ok","828.085",""
"Q145","0.5","0.2","1","1","0.2","0.625","5","2","ok","ok","921.313",""
"Q146","1","1","1","1","1","1","2","2","ok","ok","130.453",""
"Q147","0.5","0.667","1","1","1","0.75","3","4","ok","ok","250.288",""
"Q148","0.667","0.5","1","1","0.9","1","4","3","ok","ok","121.493",""
"Q149","0","0","1","1","0","0","2","1","ok","ok","265.288",""
"Q150","1","1","1","1","1","1","1","1","ok","ok","485.867",""
"Q151","0","0","1","1","0.3","1","4","1","ok","ok","450.802",""
"Q152","0.5","0.333","1","1","0.2","0.75","3","2","ok","ok","388.006",""
"Q153","1","0.667","1","0","0.3","1","3","2","ok","ok","167.162",""
"Q154","1","0.25","1","1","1","1","4","1","ok","ok","433.245",""
"Q155","1","0.4","1","0.4","0.9","1","5","1","ok","ok","314.255",""
"Q156","1","1","1","0","1","1","2","2","ok","ok","201.04",""
"Q157","1","1","1","1","0.9","1","1","3","ok","ok","230.766",""
"Q158","1","0.333","1","1","1","1","6","2","ok","ok","176.727",""
"Q159","1","0.333","1","1","1","1","6","3","ok","ok","200.139",""
"Q160","1","0.5","1","1","0.2","0.5","2","3","ok","ok","252.616",""
"Q161","0","0","0.5","0","0","0","0","3","ok","ok","690.747",""
"Q162","1","0.2","1","1","0.2","0.5","5","1","ok","ok","673.476",""
"Q163","1","0.25","1","1","0.9","1","4","1","ok","ok","402.726",""
"Q164","0.5","1","1","1","1","1","2","4","ok","ok","117.769",""
"Q165","1","1","1","0","0.6","1","1","2","ok","ok","114.502",""
"Q166","0.667","1","1","1","0.7","1","2","3","ok","ok","232.93",""
"Q167","1","0.75","1","1","1","1","4","3","ok","ok","193.024",""
"Q168","0","0","0.5","0","0.1","0","0","2","ok","ok","353.389",""
"Q169","1","1","1","1","1","1","1","1","ok","ok","74.857",""
"Q170","1","1","1","1","0.9","1","2","2","ok","ok","116.19",""
"Q171","1","1","1","1","1","1","2","1","ok","ok","147.496",""
"Q172","1","1","1","1","1","1","3","2","ok","ok","178.473",""
"Q173","1","1","1","1","0.9","1","3","2","ok","ok","76.491",""
"Q174","1","0.8","1","1","1","1","5","4","ok","ok","205.425",""
"Q175","1","0.5","1","1","1","1","2","3","ok","ok","159.42",""
"Q176","0.5","0.4","1","1","1","1","5","4","ok","ok","339.31",""
"Q177","0.5","0.333","1","1","0.6","1","3","2","ok","ok","100.737",""
"Q178","1","0.333","1","1","1","1","3","1","ok","ok","102.509",""
"Q179","0.5","0.4","1","1","0.8","1","5","4","ok","ok","317.91",""
"Q180","1","0.125","1","1","1","1","8","2","ok","ok","278.934",""
"Q181","1","1","1","1","1","1","3","3","ok","ok","291.544",""
"Q182","0.75","1","1","1","0.6","1","3","4","ok","ok","137.195",""
"Q183","1","1","1","1","1","1","2","1","ok","ok","207.386",""
"Q184","1","1","1","1","1","1","1","2","ok","ok","118.208",""
"Q185","0","0","0.5","0","0","0","0","3","ok","ok","435.113",""
"Q186","1","0.5","1","1","0.7","1","4","3","ok","ok","261.568",""
"Q187","0.333","1","1","1","0.4","1","1","3","ok","ok","104.105",""
"Q188","0","0","1","1","1","1","3","1","ok","ok","387.393",""
"Q189","1","1","1","1","1","1","1","2","ok","ok","111.04",""
"Q190","1","1","1","1","1","1","1","2","ok","ok","92.383",""
"Q191","1","1","1","1","0.7","1","4","5","ok","ok","213.58",""
"Q192","1","1","1","1","1","1","1","1","ok","ok","99.501",""
"Q193","1","1","1","1","1","1","3","4","ok","ok","295.925",""
"Q194","1","0.5","1","1","0.2","1","2","1","ok","ok","83.676",""
"Q195","0.5","0.333","1","1","1","0.5","3","2","ok","ok","309.802",""
"Q196","1","1","1","1","1","1","2","4","ok","ok","78.741",""
"Q197","0","0","1","1","0.2","0.5","3","2","ok","ok","370.39",""
"Q198","0","0","0.5","0","0","0","0","4","ok","ok","440.028",""
"Q199","0.333","1","1","1","0.7","1","1","3","ok","ok","85.998",""
"Q200","0","0","1","0","1","0.667","3","1","ok","ok","406.132",""
"Q201","1","1","1","1","1","1","1","2","ok","ok","105.698",""
"Q202","1","1","1","1","0.6","1","1","1","ok","ok","86.927",""
"Q203","1","1","1","1","1","1","1","3","ok","ok","137.144",""
"Q204","1","0.167","1","1","1","1","6","2","ok","ok","208.829",""
"Q205","1","0.333","1","1","1","1","3","2","ok","ok","153.566",""
"Q206","1","1","1","1","1","1","1","1","ok","ok","122.163",""
"Q207","1","0.333","1","1","1","1","3","2","ok","ok","132.055",""
"Q208","1","0.667","1","0","1","0.5","3","1","ok","ok","133.221",""
"Q209","1","0.667","1","1","1","1","3","1","ok","ok","128.423",""
"Q210","1","1","1","1","1","1","1","2","ok","ok","91.109",""
"Q211","1","1","1","1","1","1","2","2","ok","ok","136.034",""
"Q212","1","1","1","1","1","1","1","1","ok","ok","209.539",""
"Q213","1","1","1","1","1","1","1","1","ok","ok","84.147",""
"Q214","0","0","0.5","0","0","0","0","4","failed","ok","270.319",""
"Q215","1","0.5","1","1","1","1","2","1","ok","ok","102.035",""
"Q216","1","1","1","1","1","1","1","1","ok","ok","106.013",""
"Q217","1","1","1","1","1","1","1","2","ok","ok","108.321",""
"Q218","0","0","1","1","0.2","0.5","4","1","ok","ok","543.163",""
"Q219","1","1","1","1","1","1","1","2","ok","ok","109.7",""
"Q220","1","1","1","1","1","1","1","2","ok","ok","81.922",""
"Q221","1","1","1","1","1","1","1","2","ok","ok","82.651",""
"Q222","1","1","1","1","1","1","1","2","ok","ok","67.78",""
"Q223","1","1","1","1","1","1","1","1","ok","ok","71.575",""
"Q224","0","0","1","1","0.2","0.75","3","2","ok","ok","229.572",""
"Q225","0","0","0.5","0","0","0","0","1","ok","ok","437.037",""
"Q226","1","0.333","1","0.333333","1","1","3","2","ok","ok","136.432",""
"Q227","1","1","1","1","0.8","1","1","1","ok","ok","74.682",""
"Q228","1","0.5","1","1","1","1","2","1","ok","ok","74.953",""
"Q229","0","0","0","0","0","0","0","1","ok","ok","162.915",""
"Q230","1","0.5","1","1","1","1","2","1","ok","ok","61.084",""
"Q231","1","1","1","1","1","1","1","1","ok","ok","73.468",""
"Q232","1","1","1","1","1","1","2","2","ok","ok","79.43",""
"Q233","1","1","1","1","1","1","1","1","ok","ok","66.786",""
"Q234","1","1","1","1","0.2","0.5","1","1","ok","ok","67.294",""
"Q235","1","0.5","1","1","1","1","2","1","ok","ok","100.655",""
"Q236","0","0","1","1","0.2","0.5","1","2","ok","ok","200.576",""
"Q237","1","1","1","1","1","1","2","2","ok","ok","110.555",""
"Q238","1","0.333","1","1","1","1","3","2","ok","ok","172.774",""
"Q239","1","0.5","1","1","1","1","2","3","ok","ok","273.291",""
"Q240","1","0.5","1","1","1","1","2","3","ok","ok","103.523",""
"Q241","1","0.4","1","1","1","1","5","3","ok","ok","259.983",""
"Q242","1","1","1","1","1","1","1","1","ok","ok","53.942",""
"Q243","0.5","0.5","1","1","0.8","0.667","2","2","ok","ok","202.133",""
"Q244","0","0","0.5","0","0","0","0","1","upstream_missing","upstream_missing","",""
"Q245","1","1","1","1","1","1","1","3","ok","ok","245.044",""
"Q246","1","1","1","1","1","1","2","2","ok","ok","127.737",""
"Q247","1","1","1","1","1","1","2","2","ok","ok","195.04",""
"Q248","1","0.5","1","1","1","1","2","1","ok","ok","193.734",""
"Q249","0","0","1","1","0.2","0.5","1","1","ok","ok","454.794",""
"Q250","1","0.667","1","1","0.6","1","3","1","ok","ok","111.415",""
"Q251","1","0.4","1","1","1","1","5","2","ok","ok","226.459",""
"Q252","0.5","0.25","1","1","0.6","1","4","2","ok","ok","110.413",""
"Q253","0.333","0.5","1","1","0.5","1","2","3","ok","ok","203.855",""
"Q254","1","0.667","1","1","1","1","3","2","ok","ok","94.272",""
"Q255","1","1","1","1","1","1","1","2","ok","ok","75.206",""
"Q256","1","0.5","1","1","0.8","1","4","3","ok","ok","117.077",""
"Q257","1","1","1","1","1","1","4","3","ok","ok","85.717",""
"Q258","1","1","1","1","1","1","2","1","ok","ok","136.436",""
"Q259","0","0","0","0","0","0","2","2","ok","ok","251.394",""
"Q260","1","1","1","1","1","1","1","2","ok","ok","103.413",""
"Q261","1","1","1","1","1","1","1","3","ok","ok","86.031",""
"Q262","1","0.5","1","1","1","0.333","4","3","ok","ok","241.644",""
"Q263","1","0.5","1","1","1","1","2","2","ok","ok","131.238",""
"Q264","0.5","0.5","0","0.5","1","1","2","2","ok","ok","116.315",""
"Q265","1","0.75","1","1","1","1","4","2","ok","ok","85.493",""
"Q266","1","0.75","1","1","1","1","4","3","ok","ok","173.373",""
"Q267","1","1","1","1","1","1","2","3","ok","ok","125.135",""
"Q268","1","1","1","1","1","1","4","4","ok","ok","77.774",""
"Q269","1","0.667","1","1","1","1","3","2","ok","ok","170.931",""
"Q270","1","1","1","1","1","1","2","5","ok","ok","212.716",""
"Q271","1","1","1","1","1","1","1","1","ok","ok","318.853",""
"Q272","1","1","1","1","1","1","2","2","ok","ok","125.67",""
"Q273","1","0.5","1","1","1","1","2","1","ok","ok","134.985",""
"Q274","1","0.333","1","1","1","1","3","2","ok","ok","133.504",""
"Q275","1","1","1","1","1","1","1","1","ok","ok","103.853",""
"Q276","1","0.5","1","1","1","1","2","1","ok","ok","155.393",""
"Q277","0.667","0.667","1","1","0.2","1","3","3","ok","ok","119.119",""
"Q278","1","0.667","1","1","1","1","3","1","ok","ok","89.218",""
"Q279","1","1","1","1","1","1","1","1","ok","ok","59.706",""
"Q280","1","0.5","1","1","1","1","2","1","ok","ok","392.302",""
"Q281","1","1","1","1","1","1","2","2","ok","ok","276.118",""
"Q282","0.5","1","0.5","1","0.2","0.5","2","2","ok","ok","199.117",""
"Q283","1","0.5","1","1","1","1","4","2","ok","ok","157.858",""
"Q284","1","0.667","1","1","1","1","3","3","ok","ok","152.545",""
"Q285","1","0.5","1","1","1","1","4","2","ok","ok","341.265",""
"Q286","1","1","1","1","1","1","2","2","ok","ok","144.718",""
"Q287","1","0.667","1","1","1","1","6","2","ok","ok","153.875",""
"Q288","1","0.5","1","1","1","1","4","2","ok","ok","167.299",""
"Q289","1","0.667","1","1","1","1","6","2","ok","ok","262.534",""
"Q290","1","0.6","1","1","1","1","5","3","ok","ok","175.903",""
"Q291","0.5","1","0.5","1","0.2","0.667","1","2","ok","ok","440.05",""
"Q292","1","1","1","1","1","1","2","2","ok","ok","250.319",""
"Q293","1","1","1","1","0.9","1","4","2","ok","ok","293.163",""
"Q294","1","1","1","1","1","1","3","2","ok","ok","352.431",""
"Q295","1","0.4","1","1","1","1","5","2","ok","ok","142.834",""
"Q296","1","0.5","1","1","1","1","4","3","ok","ok","125.286",""
"Q297","0.5","1","0.5","1","0.2","1","1","2","ok","ok","416.225",""
"Q298","0.5","0.25","1","1","0.3","0.5","4","2","ok","ok","384.954",""
"Q299","1","0.333","1","1","1","1","6","2","ok","ok","112.355",""
"Q300","0","0","1","1","0","0","3","2","ok","ok","360.474",""
