"case_id","fact_coverage","evidence_precision","temporal_accuracy","answer_correctness","groundedness","evidence_count","inference_status","judge_status","duration_seconds","error"
"Q068","1","0.2","1","1","1","5","ok","ok","16.098",""
"Q069","1","0.2","1","1","1","5","ok","ok","22.184",""
"Q070","0","0","0","0.2","1","5","ok","ok","23.511",""
"Q071","1","0.2","1","1","1","5","ok","ok","22.307",""
"Q072","1","0.2","1","1","1","5","ok","ok","30.873",""
"Q073","0","0","0","0","1","5","ok","ok","21.022",""
"Q074","1","0.6","1","1","1","5","ok","ok","16.963",""
"Q075","1","0.4","1","1","1","5","ok","ok","19.327",""
"Q076","0.5","0.2","1","1","1","5","ok","ok","16.958",""
"Q077","0","0","0","0.2","1","5","ok","ok","18.097",""
"Q078","0.5","0.2","1","0.6","0.667","5","ok","ok","22.371",""
"Q079","1","0.2","1","1","1","5","ok","ok","20.25",""
"Q080","1","0.6","1","1","1","5","ok","ok","38.223",""
"Q081","1","0.2","0","1","1","5","ok","ok","34.331",""
"Q082","1","0.4","0","0.4","0.625","5","ok","ok","20.347",""
"Q083","1","0.6","1","1","1","5","ok","ok","16.696",""
"Q084","1","0.8","0.5","1","1","5","ok","ok","17.876",""
"Q085","1","0.2","1","0.9","0.75","5","ok","ok","26.066",""
"Q086","1","0.4","1","0.9","1","5","ok","ok","15.683",""
"Q087","0.5","0.2","1","0.8","1","5","ok","ok","24.849",""
"Q088","0","0.2","0","0.2","1","5","ok","ok","22.169",""
"Q089","1","0.4","0","1","1","5","ok","ok","19.057",""
"Q090","0.5","0.2","0","0.5","0.5","5","ok","ok","17.034",""
"Q091","0","0","0","0","0.5","5","ok","ok","18.58",""
"Q092","0.5","0.6","0","0.8","1","5","ok","ok","26.431",""
"Q093","1","0.6","0","0.8","1","5","ok","ok","17.036",""
"Q094","1","0.2","1","1","1","5","ok","ok","18.493",""
"Q095","0.5","0.2","1","0.9","0.667","5","ok","ok","27.977",""
"Q096","1","0.2","0.5","0.8","0.833","5","ok","ok","29.769",""
"Q097","0.5","0.2","0","0.5","1","5","ok","ok","34.042",""
"Q098","1","0.4","1","1","1","5","ok","ok","18.529",""
"Q099","0","0","0","0.2","0.833","5","ok","ok","30.786",""
"Q100","1","0.4","0","0.2","0.5","5","ok","ok","22.297",""
"Q101","1","0.2","1","1","1","5","ok","ok","18.597",""
"Q102","1","0.2","1","1","1","5","ok","ok","20.688",""
"Q103","0.333","0.2","0","0.2","1","5","ok","ok","22.092",""
"Q104","0","0","0","0.2","1","5","ok","ok","23.63",""
"Q105","0.333","0.4","1","0.4","1","5","ok","ok","21.118",""
"Q106","1","0.6","1","1","1","5","ok","ok","18.823",""
"Q107","1","0.2","1","1","1","5","ok","ok","168.791",""
"Q108","1","0.2","1","1","1","5","ok","ok","23.259",""
"Q109","1","0.2","1","1","1","5","ok","ok","16.184",""
"Q110","1","0.4","1","0.9","1","5","ok","ok","19.277",""
"Q111","1","0.4","1","1","1","5","ok","ok","35.742",""
"Q112","1","0.4","1","1","1","5","ok","ok","45.086",""
"Q113","1","0.2","1","1","1","5","ok","ok","19.306",""
"Q114","1","0.4","0","0","0.75","5","ok","ok","22.76",""
"Q115","1","1","1","1","1","5","ok","ok","18.406",""
"Q116","0","0","0","0.2","0.25","5","ok","ok","19.769",""
"Q117","1","0.4","1","0.4","0.75","5","ok","ok","31.958",""
"Q118","0.333","0.2","1","0","0.333","5","ok","ok","22.396",""
"Q119","0.75","0.6","1","1","1","5","ok","ok","78.441",""
"Q120","0.2","0.2","0.5","0.3","0.5","5","ok","ok","28.903",""
"Q121","1","0.2","1","1","1","5","ok","ok","22.683",""
"Q122","1","0.6","1","1","1","5","ok","ok","15.421",""
"Q123","1","0.2","1","1","1","5","ok","ok","15.971",""
"Q124","0","0","0","0.2","0.5","5","ok","ok","21.691",""
"Q125","1","0.2","1","1","0.5","5","ok","ok","23.827",""
"Q126","0.5","0.2","1","1","1","5","ok","ok","20.539",""
"Q127","1","0.2","1","1","1","5","ok","ok","19.131",""
"Q128","1","0.4","1","1","1","5","ok","ok","26.621",""
"Q129","0","0.8","0","0.2","0.333","5","ok","ok","17.827",""
"Q130","0.667","0.4","1","0.7","1","5","ok","ok","18.837",""
"Q131","0.5","0.2","0.5","0.5","1","5","ok","ok","17.241",""
"Q132","0","0","0","0.2","0.667","5","ok","ok","38.783",""
"Q133","0.5","0.8","1","0.6","1","5","ok","ok","17.797",""
"Q134","1","0.4","0","0.7","1","5","ok","ok","22.778",""
"Q135","0.2","0.4","0","0.4","1","5","ok","ok","20.607",""
"Q136","1","0.4","0","0.8","0.667","5","ok","ok","23.048",""
"Q137","0.667","0.6","1","0.9","0.833","5","ok","ok","43.09",""
"Q138","1","0.2","1","1","1","5","ok","ok","19.858",""
"Q139","0.5","0.2","0","0.3","0.8","5","ok","ok","22.279",""
"Q140","1","0.2","1","0.9","1","5","ok","ok","17.986",""
"Q141","1","0.2","1","0.9","1","5","ok","ok","19.134",""
"Q142","1","0.2","0","0.8","0.625","5","ok","ok","19.027",""
"Q143","1","0.2","1","1","1","5","ok","ok","17.221",""
"Q144","0.4","0.4","0.5","0.4","0.667","5","ok","ok","20.467",""
"Q145","0","0","0","0.3","1","5","ok","ok","18.991",""
"Q146","0.5","0.2","0.5","0.2","0.5","5","ok","ok","21.441",""
"Q147","1","0.6","1","0.9","1","5","ok","ok","22.126",""
"Q148","0.333","0.2","1","0.4","1","5","ok","ok","22.286",""
"Q149","0","0","0","0","0.667","5","ok","ok","24.458",""
"Q150","1","0.2","0","0.9","1","5","ok","ok","19.779",""
"Q151","1","0.2","1","0.9","1","5","ok","ok","18.623",""
"Q152","0","0","1","0.4","0.75","5","ok","ok","20.354",""
"Q153","0.5","0.2","0","0.7","1","5","ok","ok","17.117",""
"Q154","1","0.2","1","0.8","1","5","ok","ok","17.546",""
"Q155","1","0.2","0","0.4","0.75","5","ok","ok","22.97",""
"Q156","1","0.4","1","1","1","5","ok","ok","18.847",""
"Q157","1","0.4","1","0.9","1","5","ok","ok","27.386",""
"Q158","1","0.8","1","1","1","5","ok","ok","26.649",""
"Q159","0","0","0","0.3","1","5","ok","ok","22.984",""
"Q160","0.667","0.4","0.5","0.6","0.667","5","ok","ok","16.468",""
"Q161","0.667","0.2","0.5","0.4","0.833","5","ok","ok","20.692",""
"Q162","0","0","0","0.2","1","5","ok","ok","56.779",""
"Q163","0","0","1","0.5","0.3","5","ok","ok","20.315",""
"Q164","0.75","0.8","1","0.8","1","5","ok","ok","21.848",""
"Q165","1","0.4","0","0.8","1","5","ok","ok","16.403",""
"Q166","0","0","1","0.4","0.875","5","ok","ok","37.206",""
"Q167","0.667","0.4","0.5","0.6","1","5","ok","ok","22.49",""
"Q168","0","0","1","0.4","0.375","5","ok","ok","20.758",""
"Q169","1","0.4","1","1","1","5","ok","ok","15.536",""
"Q170","0.5","0.2","1","0.4","0.75","5","ok","ok","16.977",""
"Q171","1","0.4","1","0.8","1","5","ok","ok","16.303",""
"Q172","0.5","0.2","1","0.7","0.75","5","ok","ok","25.851",""
"Q173","0.5","0.4","1","0.8","1","5","ok","ok","30.964",""
"Q174","0.75","0.4","1","1","1","5","ok","ok","19.847",""
"Q175","0","0","0","0.2","0.667","5","ok","ok","51.997",""
"Q176","0.25","0.2","0","0.4","0.9","5","ok","ok","20.616",""
"Q177","0.5","0.8","1","0.6","0.833","5","ok","ok","21.368",""
"Q178","1","0.2","1","1","1","5","ok","ok","17.221",""
"Q179","0.25","0.2","1","0.5","1","5","ok","ok","18.335",""
"Q180","0","0","0.5","0.2","1","5","ok","ok","39.424",""
"Q181","0.667","0.4","0","0.6","0.75","5","ok","ok","25.636",""
"Q182","0.5","1","1","0.7","1","5","ok","ok","21.377",""
"Q183","0","0.4","0","0.3","0.75","5","ok","ok","17.223",""
"Q184","1","0.4","1","0.9","1","5","ok","ok","18.008",""
"Q185","0.667","0.2","1","0.8","1","5","ok","ok","34.831",""
"Q186","0.667","0.2","0.5","0.3","1","5","ok","ok","16.247",""
"Q187","0","0.4","1","0.3","0.4","5","ok","ok","20.939",""
"Q188","1","0.2","0","0.8","1","5","ok","ok","27.864",""
"Q189","1","0.2","1","1","1","5","ok","ok","31.85",""
"Q190","1","0.4","1","1","1","5","ok","ok","22.908",""
"Q191","0.4","0.8","1","0.6","1","5","ok","ok","26.327",""
"Q192","1","1","1","1","1","5","ok","ok","47.756",""
"Q193","1","0.8","1","1","1","5","ok","ok","20.637",""
"Q194","1","0.2","1","0.9","1","5","ok","ok","20.805",""
"Q195","1","0.4","1","0.8","1","5","ok","ok","22.508",""
"Q196","0.75","0.6","1","0.8","1","5","ok","ok","18.183",""
"Q197","0.5","0.2","0","0.6","0.75","5","ok","ok","16.813",""
"Q198","0","0","0","0.2","1","5","ok","ok","18.676",""
"Q199","1","0.2","1","0.9","1","5","ok","ok","28.212",""
"Q200","1","0.2","1","0.8","0.6","5","ok","ok","36.692",""
"Q201","1","0.6","1","1","1","5","ok","ok","22.933",""
"Q202","1","0.2","1","1","1","5","ok","ok","15.534",""
"Q203","1","0.6","1","0.6","1","5","ok","ok","43.408",""
"Q204","0","0.2","0","0.2","0.5","5","ok","ok","45.245",""
"Q205","1","0.2","1","1","1","5","ok","ok","49.317",""
"Q206","1","0.2","1","1","1","5","ok","ok","24.987",""
"Q207","1","0.4","1","1","1","5","ok","ok","16.18",""
"Q208","1","0.6","1","1","1","5","ok","ok","34.776",""
"Q209","1","0.4","1","1","1","5","ok","ok","28.159",""
"Q210","1","0.2","1","1","1","5","ok","ok","66.96",""
"Q211","1","0.4","1","1","1","5","ok","ok","16.988",""
"Q212","1","0.2","1","1","1","5","ok","ok","14.693",""
"Q213","1","0.2","1","1","1","5","ok","ok","13.682",""
"Q214","0.5","0.6","1","0.75","1","5","ok","ok","16.118",""
"Q215","1","0.6","1","1","1","5","ok","ok","15.231",""
"Q216","1","0.4","1","1","1","5","ok","ok","14.338",""
"Q217","1","0.2","1","1","1","5","ok","ok","14.458",""
"Q218","0","0","1","0.5","1","5","ok","ok","20.387",""
"Q219","1","0.6","1","1","1","5","ok","ok","14.758",""
"Q220","1","0.6","0","1","1","5","ok","ok","14.576",""
"Q221","1","0.4","1","1","1","5","ok","ok","14.523",""
"Q222","1","0.6","1","1","1","5","ok","ok","14.349",""
"Q223","1","0.4","1","1","1","5","ok","ok","15.041",""
"Q224","0","0","0.5","0","1","5","ok","ok","13.192",""
"Q225","1","0.2","1","1","1","5","ok","ok","15.128",""
"Q226","1","0.2","1","1","1","5","ok","ok","15.762",""
"Q227","1","0.6","1","0.6","1","5","ok","ok","15.87",""
"Q228","1","0.2","1","1","1","5","ok","ok","15.355",""
"Q229","1","0.2","1","1","1","5","ok","ok","14.788",""
"Q230","1","0.4","0","1","1","5","ok","ok","13.537",""
"Q231","1","0.2","1","1","1","5","ok","ok","13.585",""
"Q232","1","0.4","0","1","1","5","ok","ok","15.567",""
"Q233","1","0.2","1","1","1","5","ok","ok","14.286",""
"Q234","1","0.2","0","1","1","5","ok","ok","14.184",""
"Q235","1","0.2","1","1","1","5","ok","ok","13.856",""
"Q236","0","0","0","0.1","1","5","ok","ok","14.247",""
"Q237","1","0.8","1","1","1","5","ok","ok","15.639",""
"Q238","1","0.2","1","1","1","5","ok","ok","16.125",""
"Q239","1","0.2","1","1","1","5","ok","ok","14.595",""
"Q240","1","0.6","1","0.85","1","5","ok","ok","16.441",""
"Q241","0.333","0.4","1","0.7","0.75","5","ok","ok","16.379",""
"Q242","1","0.6","1","1","1","5","ok","ok","14.145",""
"Q243","0.5","0.2","1","0.8","1","5","ok","ok","15.416",""
"Q244","1","0.4","1","1","1","5","ok","ok","14.871",""
"Q245","0.667","0.4","1","1","1","5","ok","ok","15.218",""
"Q246","1","0.4","1","1","1","5","ok","ok","15.539",""
"Q247","1","0.4","1","1","1","5","ok","ok","15.355",""
"Q248","1","1","1","1","1","5","ok","ok","14.717",""
"Q249","0","0.2","1","1","1","5","ok","ok","16.304",""
"Q250","1","0.4","1","1","1","5","ok","ok","16.125",""
"Q251","0.5","0.2","0.5","0.8","1","5","ok","ok","15.991",""
"Q252","0.5","0.2","0.5","0.7","1","5","ok","ok","14.49",""
"Q253","1","0.2","0","0.5","0.75","5","ok","ok","16.528",""
"Q254","1","0.4","1","1","1","5","ok","ok","14.319",""
"Q255","1","0.4","1","1","1","5","ok","ok","14.215",""
"Q256","0.333","0.4","1","0.6","1","5","ok","ok","16.358",""
"Q257","1","0.4","1","1","1","5","ok","ok","15.7",""
"Q258","1","0.4","1","1","1","5","ok","ok","15.537",""
"Q259","1","0.2","1","1","1","5","ok","ok","14.494",""
"Q260","1","0.2","1","1","1","5","ok","ok","16.285",""
"Q261","1","0.2","1","1","1","5","ok","ok","15.1",""
"Q262","0.667","0.4","0","0.5","0.833","5","ok","ok","15.118",""
"Q263","1","0.2","0","1","1","5","ok","ok","14.099",""
"Q264","0.5","0.4","0.5","0.75","1","5","ok","ok","17.619",""
"Q265","0.5","0.2","0.5","0.5","0.5","5","ok","ok","15.273",""
"Q266","0","0","0.5","0.7","1","5","ok","ok","14.859",""
"Q267","1","0.4","1","1","1","5","ok","ok","15.79",""
"Q268","1","1","0.5","1","1","5","ok","ok","17.899",""
"Q269","0.5","0.2","0.5","0.5","0.5","5","ok","ok","15.039",""
"Q270","0.4","0.6","0","0.4","0.8","5","ok","ok","15.093",""
"Q271","1","0.4","1","1","1","5","ok","ok","15.379",""
"Q272","1","0.6","1","1","1","5","ok","ok","15.713",""
"Q273","1","0.2","1","1","1","5","ok","ok","15.2",""
"Q274","1","0.4","1","0.8","1","5","ok","ok","15.785",""
"Q275","1","0.4","1","0.2","1","5","ok","ok","16.302",""
"Q276","1","0.4","1","1","1","5","ok","ok","16.139",""
"Q277","0.667","0.6","1","0.7","0.8","5","ok","ok","15.61",""
"Q278","1","0.4","1","1","1","5","ok","ok","15.616",""
"Q279","1","0.2","1","1","1","5","ok","ok","14.886",""
"Q280","0","0","0","0.6","1","5","ok","ok","14.966",""
"Q281","1","0.4","1","1","1","5","ok","ok","15.581",""
"Q282","1","0.4","0.5","0.9","1","5","ok","ok","14.113",""
"Q283","0","0","0","0.1","0","5","ok","ok","13.371",""
"Q284","0.333","0.2","0","0.7","1","5","ok","ok","16.169",""
"Q285","1","0.4","1","1","1","5","ok","ok","15.898",""
"Q286","0.5","0.4","0.5","0.5","0.833","5","ok","ok","15.451",""
"Q287","0.5","0.2","0","0.6","1","5","ok","ok","16.464",""
"Q288","0","0","0","0","0","5","ok","ok","13.286",""
"Q289","1","0.6","0","0.2","0.5","5","ok","ok","16.474",""
"Q290","0.333","0.6","0","0.2","0.75","5","ok","ok","15.246",""
"Q291","0","0","0","0.3","0.667","5","ok","ok","16.22",""
"Q292","0","0","0","0.2","0.5","5","ok","ok","14.482",""
"Q293","1","0.6","1","1","1","5","ok","ok","16.291",""
"Q294","0.5","0.2","1","0.8","1","5","ok","ok","14.09",""
"Q295","1","0.4","1","1","1","5","ok","ok","16.679",""
"Q296","0.667","0.4","1","1","1","5","ok","ok","15.841",""
"Q297","0","0","0","0.1","1","5","ok","ok","13.512",""
"Q298","0.5","0.8","0","0.5","1","5","ok","ok","15.07",""
"Q299","0","0","0","0","1","5","ok","ok","13.389",""
"Q300","0","0","0","0.1","1","5","ok","ok","13.988",""
